date,C50:MCA.MDC.T
2019-01-31,-80001.0
2019-02-28,-79999.0
2019-03-31,-84209.0
2019-04-30,-85129.0
2019-05-31,-84700.0
2019-06-30,-86549.0
2019-07-31,-90367.0
2019-08-31,-92633.0
2019-09-30,-89622.0
2019-10-31,-91834.0
2019-11-30,-92145.0
2019-12-31,-90853.0
2020-01-31,-88967.0
2020-02-29,-91912.0
2020-03-31,-90270.0
2020-04-30,-88497.0
2020-05-31,-90834.0
2020-06-30,-90213.0
2020-07-31,-88981.0
2020-08-31,-90113.0
2020-09-30,-94335.0
2020-10-31,-95685.0
2020-11-30,-96927.0
2020-12-31,-100000.0
2021-01-31,-97897.0
2021-02-28,-97690.0
2021-03-31,-97606.0
2021-04-30,-97837.0
2021-05-31,-101750.0
2021-06-30,-104554.0
2021-07-31,-103752.0
2021-08-31,-104917.0
2021-09-30,-101560.0
2021-10-31,-99944.0
2021-11-30,-102969.0
2021-12-31,-106036.0
2022-01-31,-105841.0
2022-02-28,-103812.0
2022-03-31,-103380.0
2022-04-30,-107222.0
2022-05-31,-105634.0
2022-06-30,-108701.0
2022-07-31,-106034.0
2022-08-31,-105258.0
2022-09-30,-112141.0
2022-10-31,-108706.0
2022-11-30,-102935.0
2022-12-31,-104916.0
2023-01-31,-105319.0
2023-02-28,-104164.0
2023-03-31,-100758.0
2023-04-30,-102348.0
2023-05-31,-99119.0
2023-06-30,-100112.0
2023-07-31,-94865.0
2023-08-31,-95250.0
2023-09-30,-92052.0
2023-10-31,-96040.0
2023-11-30,-89991.0
2023-12-31,-91280.0
2024-01-31,-89530.0
2024-02-29,-85700.0
2024-03-31,-85795.0
2024-04-30,-82786.0
2024-05-31,-86903.0
2024-06-30,-84878.0
2024-07-31,-85511.0
2024-08-31,-81794.0
2024-09-30,-82562.0
2024-10-31,-84939.0
2024-11-30,-83313.0
2024-12-31,-81899.0
2025-01-31,-77525.0
2025-02-28,-75179.0
2025-03-31,-75173.0
2025-04-30,-76323.0
2025-05-31,-76063.0
2025-06-30,-76807.0
2025-07-31,-73136.0
2025-08-31,-80800.0
2025-09-30,-81839.0
2025-10-31,-82892.0
2025-11-30,-82516.0
2025-12-31,-85359.0
2026-01-31,-81212.0
2026-02-28,-82775.0
2026-03-31,-73325.0
2026-04-30,-69902.0
2026-05-31,-71350.0
2026-06-30,-77212.0
2026-07-31,-74611.0
