date,D30:ROSI.MAA1.P4
2019-01-31,4450.0
2019-02-28,4550.0
2019-03-31,4750.0
2019-04-30,4595.0
2019-05-31,4145.0
2019-06-30,3470.0
2019-07-31,3220.0
2019-08-31,2920.0
2019-09-30,2570.0
2019-10-31,2485.0
2019-11-30,2395.0
2019-12-31,2345.0
2020-01-31,2185.0
2020-02-29,2285.0
2020-03-31,2910.0
2020-04-30,7360.0
2020-05-31,10260.0
2020-06-30,11885.0
2020-07-31,11035.0
2020-08-31,10925.0
2020-09-30,10825.0
2020-10-31,9725.0
2020-11-30,8475.0
2020-12-31,7750.0
2021-01-31,7300.0
2021-02-28,7550.0
2021-03-31,8150.0
2021-04-30,8562.0
2021-05-31,8412.0
2021-06-30,8412.0
2021-07-31,8440.0
2021-08-31,8340.0
2021-09-30,8490.0
2021-10-31,8035.0
2021-11-30,7835.0
2021-12-31,7485.0
2022-01-31,6135.0
2022-02-28,5435.0
2022-03-31,4835.0
2022-04-30,4550.0
2022-05-31,4200.0
2022-06-30,3910.0
2022-07-31,3910.0
2022-08-31,3690.0
2022-09-30,3590.0
2022-10-31,3410.0
2022-11-30,3230.0
2022-12-31,3230.0
2023-01-31,2910.0
2023-02-28,2990.0
2023-03-31,3270.0
2023-04-30,3170.0
2023-05-31,2920.0
2023-06-30,3060.0
2023-07-31,3560.0
2023-08-31,4350.0
2023-09-30,4850.0
2023-10-31,4875.0
2023-11-30,5375.0
2023-12-31,5075.0
2024-01-31,4915.0
2024-02-29,4745.0
2024-03-31,5245.0
2024-04-30,5330.0
2024-05-31,5450.0
2024-06-30,5895.0
2024-07-31,5915.0
2024-08-31,5815.0
2024-09-30,5590.0
2024-10-31,5390.0
2024-11-30,5230.0
2024-12-31,4820.0
2025-01-31,4310.0
2025-02-28,4460.0
2025-03-31,4660.0
2025-04-30,5166.0
2025-05-31,5066.0
2025-06-30,5201.0
2025-07-31,4841.0
2025-08-31,4816.0
2025-09-30,4946.0
2025-10-31,5001.0
2025-11-30,4291.0
2025-12-31,4536.0
2026-01-31,3936.0
2026-02-28,3956.0
2026-03-31,4276.0
2026-04-30,4755.0
2026-05-31,5300.0
2026-06-30,5755.0
2026-07-31,5005.0
