date,D10:fx
2019-01-31,-8.2
2019-02-28,-17.5
2019-03-29,-17.2
2019-04-30,-5.4
2019-05-31,-12.9
2019-06-28,-19.6
2019-07-31,-27.2
2019-08-30,-23.9
2019-09-30,-31.4
2019-10-31,-13.6
2019-11-29,-23.3
2019-12-31,-31.8
2020-01-31,-8.9
2020-02-28,-12.7
2020-03-31,-7.0
2020-04-30,-17.0
2020-05-29,-0.1
2020-06-30,-3.4
2020-07-31,-0.1
2020-08-31,-12.4
2020-09-30,1.0
2020-10-30,-3.6
2020-11-30,-18.1
2020-12-31,-11.1
2021-01-29,-4.5
2021-02-26,-23.4
2021-03-31,-2.8
2021-04-30,0.8
2021-05-31,0.4
2021-06-30,6.9
2021-07-30,0.3
2021-08-31,0.0
2021-09-30,0.0
2021-10-29,0.0
2021-11-30,2.4
2021-12-31,-1.1
2022-01-31,0.0
2022-02-28,0.0
2022-03-31,0.0
2022-04-29,0.1
2022-05-31,0.0
2022-06-30,0.1
2022-07-29,9.3
2022-08-31,0.0
2022-09-30,0.0
2022-10-31,0.0
2022-11-30,1.2
2022-12-30,0.1
2023-01-31,0.0
2023-02-28,0.3
2023-03-31,1.1
2023-04-28,0.2
2023-05-31,0.8
2023-06-30,0.2
2023-07-31,3962.5
2023-08-31,-84.3
2023-09-29,1.3
2023-10-31,0.0
2023-11-30,0.0
2023-12-29,79.8
2024-01-31,0.2
2024-02-29,0.3
2024-03-29,0.0
2024-04-30,-84.6
2024-05-31,0.3
2024-06-27,0.1
2024-07-31,2.6
2024-08-30,9.3
2024-09-30,79.6
2024-10-31,0.7
2024-11-29,-80.9
2024-12-31,-172.9
2025-01-31,4.3
2025-02-28,132.2
2025-03-31,126.8
2025-04-30,-10.9
2025-05-30,0.2
2025-06-30,0.5
2025-07-31,-1.2
2025-08-29,1.8
2025-09-30,-257.1
2025-10-31,-127.8
2025-11-28,-128.0
2025-12-31,258.8
2026-01-30,250.4
2026-02-27,0.0
2026-03-31,-254.9
2026-04-30,-654.6
2026-05-29,126.3
2026-06-30,-446.0
2026-07-31,266.0
