date,C50:MCA.MDC.PSC9
2019-01-31,6158.0
2019-02-28,6388.0
2019-03-31,6762.0
2019-04-30,6576.0
2019-05-31,7611.0
2019-06-30,7039.0
2019-07-31,7561.0
2019-08-31,9910.0
2019-09-30,9464.0
2019-10-31,7941.0
2019-11-30,7591.0
2019-12-31,6950.0
2020-01-31,7798.0
2020-02-29,9348.0
2020-03-31,10769.0
2020-04-30,10057.0
2020-05-31,9879.0
2020-06-30,9282.0
2020-07-31,9781.0
2020-08-31,9541.0
2020-09-30,9230.0
2020-10-31,10101.0
2020-11-30,9976.0
2020-12-31,9454.0
2021-01-31,9118.0
2021-02-28,7987.0
2021-03-31,7421.0
2021-04-30,6924.0
2021-05-31,6547.0
2021-06-30,6385.0
2021-07-31,6048.0
2021-08-31,5450.0
2021-09-30,5548.0
2021-10-31,4180.0
2021-11-30,5304.0
2021-12-31,4944.0
2022-01-31,6327.0
2022-02-28,4720.0
2022-03-31,4213.0
2022-04-30,5764.0
2022-05-31,5042.0
2022-06-30,6298.0
2022-07-31,4880.0
2022-08-31,5983.0
2022-09-30,8777.0
2022-10-31,6711.0
2022-11-30,4705.0
2022-12-31,4678.0
2023-01-31,4239.0
2023-02-28,5016.0
2023-03-31,3739.0
2023-04-30,4118.0
2023-05-31,5081.0
2023-06-30,3760.0
2023-07-31,3233.0
2023-08-31,4509.0
2023-09-30,3649.0
2023-10-31,4812.0
2023-11-30,3292.0
2023-12-31,3491.0
2024-01-31,2962.0
2024-02-29,2902.0
2024-03-31,3314.0
2024-04-30,3503.0
2024-05-31,2827.0
2024-06-30,2848.0
2024-07-31,4351.0
2024-08-31,3620.0
2024-09-30,4036.0
2024-10-31,4145.0
2024-11-30,3761.0
2024-12-31,6301.0
2025-01-31,4950.0
2025-02-28,5091.0
2025-03-31,4014.0
2025-04-30,4556.0
2025-05-31,3804.0
2025-06-30,3724.0
2025-07-31,3839.0
2025-08-31,4603.0
2025-09-30,6005.0
2025-10-31,5959.0
2025-11-30,5031.0
2025-12-31,4170.0
2026-01-31,3955.0
2026-02-28,4582.0
2026-03-31,5070.0
2026-04-30,3739.0
2026-05-31,2903.0
2026-06-30,5533.0
2026-07-31,2703.0
