date,bond_repurchases_market
2018-09-26,320.0
2018-09-27,150.0
2018-10-02,150.0
2018-10-03,200.0
2018-10-05,225.0
2018-11-15,208.0
2018-11-16,400.0
2018-11-19,110.0
2018-11-21,350.0
2018-12-05,46.0
2018-12-07,252.0
2018-12-10,45.0
2018-12-11,50.0
2018-12-12,99.5
2019-01-11,100.0
2019-01-14,100.0
2019-01-15,280.0
2019-01-22,80.0
2019-01-23,40.0
2019-01-29,450.0
2019-02-01,190.0
2019-02-13,14.163
2019-02-26,180.0
2019-02-28,375.0
2019-03-01,200.0
2019-03-04,113.013
2019-11-05,40.0
2019-11-13,80.0
2019-12-05,125.0
2020-01-07,100.0
2020-01-13,150.0
2020-01-14,265.0
2020-01-20,97.0
2020-01-27,20.0
2020-01-30,40.0
2020-02-03,70.0
2020-02-13,20.0
2020-02-25,200.0
2020-03-03,204.0
2020-03-20,51.86
2020-03-23,20.0
2020-03-25,30.0
2020-04-02,150.0
2020-04-03,838.0
2020-04-06,600.0
2020-04-09,432.0
2020-04-14,300.0
2020-04-16,20.0
2020-04-22,200.0
2020-05-01,200.0
2020-05-07,200.0
2020-06-30,15.0
2020-07-06,50.0
2020-07-29,250.0
2020-07-31,27.0
2020-08-04,40.0
2020-12-01,60.0
2020-12-02,200.0
2020-12-07,80.0
2021-04-30,222.0
2022-10-20,25.0
2022-10-21,200.0
2023-03-13,350.0
2023-03-14,130.0
2023-03-15,199.0
2023-03-16,250.0
2023-03-20,290.0
2023-11-17,50.0
2023-11-24,50.0
2023-12-01,200.0
2023-12-04,75.0
2023-12-11,95.0
2024-03-04,100.0
2024-03-20,159.0
2024-03-21,150.0
2024-04-19,400.0
2024-07-29,80.0
2024-08-09,400.0
2024-08-15,40.0
2024-08-21,50.0
2024-08-26,131.0
2024-10-14,220.0
2024-10-29,130.0
2024-11-06,150.0
2024-11-12,30.0
2024-12-03,200.0
2025-01-10,15.0
2025-01-21,19.0
2025-01-22,40.0
2025-09-09,75.0
2025-09-11,60.0
2025-12-12,50.0
2025-12-16,250.0
2025-12-19,100.0
2026-01-16,50.0
2026-01-21,24.0
2026-02-23,50.0
2026-02-26,57.0
