date,R3:UGEN.MR7008
2019-01-31,748.0
2019-02-28,2649.0
2019-03-31,41.0
2019-04-30,24.0
2019-05-31,22.0
2019-06-30,57.0
2019-07-31,916.0
2019-08-31,1007.0
2019-09-30,5.0
2019-10-31,1057.0
2019-11-30,9.0
2019-12-31,663.0
2020-01-31,611.0
2020-02-29,412.0
2020-03-31,1522.0
2020-04-30,1137.0
2020-05-31,1327.0
2020-06-30,926.0
2020-07-31,992.0
2020-08-31,1013.0
2020-09-30,335.0
2020-10-31,331.0
2020-11-30,575.0
2020-12-31,1899.0
2021-01-31,2394.0
2021-02-28,3046.0
2021-03-31,4202.0
2021-04-30,4576.0
2021-05-31,4894.0
2021-06-30,4962.0
2021-07-31,6132.0
2021-08-31,8164.0
2021-09-30,8415.0
2021-10-31,8375.0
2021-11-30,8285.0
2021-12-31,9004.0
2022-01-31,9929.0
2022-02-28,10463.0
2022-03-31,11927.0
2022-04-30,11863.0
2022-05-31,12569.0
2022-06-30,14332.0
2022-07-31,15970.0
2022-08-31,16022.0
2022-09-30,16783.0
2022-10-31,18508.0
2022-11-30,21044.0
2022-12-31,21046.0
2023-01-31,21265.0
2023-02-28,21217.0
2023-03-31,21305.0
2023-04-30,21626.0
2023-05-31,21502.0
2023-06-30,21155.0
2023-07-31,21223.0
2023-08-31,21276.0
2023-09-30,21511.0
2023-10-31,21592.0
2023-11-30,21557.0
2023-12-31,20712.0
2024-01-31,20478.0
2024-02-29,20513.0
2024-03-31,20097.0
2024-04-30,18918.0
2024-05-31,19022.0
2024-06-30,18849.0
2024-07-31,18196.0
2024-08-31,16162.0
2024-09-30,17134.0
2024-10-31,17350.0
2024-11-30,15738.0
2024-12-31,15128.0
2025-01-31,13788.0
2025-02-28,13231.0
2025-03-31,11550.0
2025-04-30,11509.0
2025-05-31,10755.0
2025-06-30,8725.0
2025-07-31,8206.0
2025-08-31,6778.0
2025-09-30,9626.0
2025-10-31,5848.0
2025-11-30,6151.0
2025-12-31,6277.0
2026-01-31,7467.0
2026-02-28,7151.0
2026-03-31,9291.0
2026-04-30,4564.0
2026-05-31,6677.0
2026-06-30,7096.0
2026-07-31,7635.0
