date,D30:ROSN.MAB2.P2ZZE
2019-01-31,105.0
2019-02-28,148.0
2019-03-31,95.0
2019-04-30,217.0
2019-05-31,381.0
2019-06-30,352.0
2019-07-31,49.0
2019-08-31,100.0
2019-09-30,151.0
2019-10-31,160.0
2019-11-30,296.0
2019-12-31,260.0
2020-01-31,189.0
2020-02-29,282.0
2020-03-31,305.0
2020-04-30,-18.0
2020-05-31,251.0
2020-06-30,232.0
2020-07-31,114.0
2020-08-31,144.0
2020-09-30,96.0
2020-10-31,162.0
2020-11-30,220.0
2020-12-31,233.0
2021-01-31,210.0
2021-02-28,241.0
2021-03-31,323.0
2021-04-30,290.0
2021-05-31,392.0
2021-06-30,408.0
2021-07-31,441.0
2021-08-31,420.0
2021-09-30,382.0
2021-10-31,566.0
2021-11-30,659.0
2021-12-31,771.0
2022-01-31,904.0
2022-02-28,868.0
2022-03-31,900.0
2022-04-30,856.0
2022-05-31,728.0
2022-06-30,1106.0
2022-07-31,785.0
2022-08-31,802.0
2022-09-30,841.0
2022-10-31,779.0
2022-11-30,649.0
2022-12-31,676.0
2023-01-31,710.0
2023-02-28,1028.0
2023-03-31,858.0
2023-04-30,754.0
2023-05-31,797.0
2023-06-30,925.0
2023-07-31,802.0
2023-08-31,990.0
2023-09-30,1303.0
2023-10-31,1330.0
2023-11-30,854.0
2023-12-31,629.0
2024-01-31,925.0
2024-02-29,720.0
2024-03-31,1031.0
2024-04-30,1278.0
2024-05-31,1154.0
2024-06-30,1257.0
2024-07-31,1168.0
2024-08-31,897.0
2024-09-30,893.0
2024-10-31,557.0
2024-11-30,382.0
2024-12-31,173.0
2025-01-31,179.0
2025-02-28,173.0
2025-03-31,161.0
2025-04-30,183.0
2025-05-31,138.0
2025-06-30,130.0
2025-07-31,130.0
2025-08-31,185.0
2025-09-30,28.0
2025-10-31,29.0
2025-11-30,2.0
2025-12-31,9.0
2026-01-31,33.0
2026-02-28,58.0
2026-03-31,235.0
2026-04-30,542.0
2026-05-31,674.0
2026-06-30,230.0
2026-07-31,351.0
