date,R3:UGEN.MR7020
2019-01-31,6805.0
2019-02-28,6719.0
2019-03-31,6701.0
2019-04-30,6871.0
2019-05-31,6790.0
2019-06-30,6730.0
2019-07-31,6771.0
2019-08-31,6780.0
2019-09-30,6851.0
2019-10-31,7015.0
2019-11-30,7086.0
2019-12-31,7555.0
2020-01-31,7268.0
2020-02-29,7160.0
2020-03-31,7935.0
2020-04-30,7972.0
2020-05-31,8086.0
2020-06-30,7939.0
2020-07-31,7926.0
2020-08-31,8055.0
2020-09-30,8040.0
2020-10-31,8114.0
2020-11-30,8119.0
2020-12-31,8551.0
2021-01-31,8210.0
2021-02-28,8155.0
2021-03-31,8350.0
2021-04-30,8215.0
2021-05-31,8160.0
2021-06-30,8173.0
2021-07-31,8215.0
2021-08-31,8322.0
2021-09-30,8497.0
2021-10-31,8672.0
2021-11-30,8759.0
2021-12-31,9187.0
2022-01-31,8910.0
2022-02-28,8910.0
2022-03-31,9020.0
2022-04-30,9087.0
2022-05-31,8987.0
2022-06-30,8978.0
2022-07-31,8895.0
2022-08-31,8878.0
2022-09-30,8923.0
2022-10-31,9023.0
2022-11-30,9016.0
2022-12-31,9369.0
2023-01-31,9046.0
2023-02-28,9041.0
2023-03-31,9135.0
2023-04-30,9093.0
2023-05-31,8991.0
2023-06-30,8918.0
2023-07-31,8914.0
2023-08-31,8907.0
2023-09-30,8941.0
2023-10-31,8959.0
2023-11-30,9012.0
2023-12-31,9379.0
2024-01-31,9000.0
2024-02-29,8973.0
2024-03-31,9080.0
2024-04-30,8960.0
2024-05-31,8910.0
2024-06-30,8894.0
2024-07-31,8807.0
2024-08-31,8825.0
2024-09-30,8842.0
2024-10-31,8910.0
2024-11-30,8961.0
2024-12-31,9351.0
2025-01-31,9084.0
2025-02-28,9083.0
2025-03-31,9069.0
2025-04-30,9199.0
2025-05-31,9092.0
2025-06-30,9069.0
2025-07-31,9006.0
2025-08-31,9030.0
2025-09-30,9079.0
2025-10-31,9198.0
2025-11-30,9377.0
2025-12-31,9861.0
2026-01-31,9887.0
2026-02-28,9873.0
2026-03-31,10234.0
2026-04-30,10232.0
2026-05-31,10160.0
2026-06-30,10179.0
2026-07-31,10239.0
