date,R3:UGEN.MR70231
2019-01-31,345.0
2019-02-28,180.0
2019-03-31,750.0
2019-04-30,730.0
2019-05-31,558.0
2019-06-30,851.0
2019-07-31,1277.0
2019-08-31,1112.0
2019-09-30,595.0
2019-10-31,602.0
2019-11-30,810.0
2019-12-31,1225.0
2020-01-31,320.0
2020-02-29,1068.0
2020-03-31,705.0
2020-04-30,178.0
2020-05-31,225.0
2020-06-30,266.0
2020-07-31,71.0
2020-08-31,350.0
2020-09-30,112.0
2020-10-31,192.0
2020-11-30,325.0
2020-12-31,441.0
2021-01-31,558.0
2021-02-28,407.0
2021-03-31,700.0
2021-04-30,343.0
2021-05-31,1069.0
2021-06-30,762.0
2021-07-31,850.0
2021-08-31,751.0
2021-09-30,498.0
2021-10-31,622.0
2021-11-30,1151.0
2021-12-31,686.0
2022-01-31,570.0
2022-02-28,538.0
2022-03-31,85.0
2022-04-30,815.0
2022-05-31,936.0
2022-06-30,975.0
2022-07-31,2009.0
2022-08-31,4743.0
2022-09-30,4011.0
2022-10-31,2600.0
2022-11-30,3694.0
2022-12-31,4912.0
2023-01-31,4269.0
2023-02-28,4041.0
2023-03-31,1037.0
2023-04-30,2892.0
2023-05-31,1846.0
2023-06-30,2719.0
2023-07-31,2919.0
2023-08-31,1403.0
2023-09-30,1501.0
2023-10-31,2097.0
2023-11-30,2620.0
2023-12-31,679.0
2024-01-31,4771.0
2024-02-29,4728.0
2024-03-31,1105.0
2024-04-30,0.0
2024-05-31,57.0
2024-06-30,0.0
2024-07-31,0.0
2024-08-31,8.0
2024-09-30,1609.0
2024-10-31,715.0
2024-11-30,57.0
2024-12-31,0.0
2025-01-31,4.0
2025-02-28,8.0
2025-03-31,0.0
2025-04-30,0.0
2025-05-31,0.0
2025-06-30,3.0
2025-07-31,0.0
2025-08-31,0.0
2025-09-30,0.0
2025-10-31,0.0
2025-11-30,0.0
2025-12-31,29.0
2026-01-31,0.0
2026-02-28,0.0
2026-03-31,0.0
2026-04-30,0.0
2026-05-31,0.0
2026-06-30,0.0
2026-07-31,3.0
