date,R1:RBNZ.MRL135
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.0
2019-04-30,0.0
2019-05-31,4.0
2019-06-30,0.0
2019-07-31,102.0
2019-08-31,0.0
2019-09-30,0.0
2019-10-31,202.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,0.0
2020-04-30,88.0
2020-05-31,150.0
2020-06-30,166.0
2020-07-31,71.0
2020-08-31,352.0
2020-09-30,112.0
2020-10-31,192.0
2020-11-30,325.0
2020-12-31,241.0
2021-01-31,358.0
2021-02-28,207.0
2021-03-31,420.0
2021-04-30,68.0
2021-05-31,619.0
2021-06-30,487.0
2021-07-31,475.0
2021-08-31,176.0
2021-09-30,248.0
2021-10-31,222.0
2021-11-30,951.0
2021-12-31,286.0
2022-01-31,570.0
2022-02-28,538.0
2022-03-31,85.0
2022-04-30,815.0
2022-05-31,136.0
2022-06-30,777.0
2022-07-31,1609.0
2022-08-31,3145.0
2022-09-30,3736.0
2022-10-31,928.0
2022-11-30,1797.0
2022-12-31,1406.0
2023-01-31,674.0
2023-02-28,194.0
2023-03-31,1037.0
2023-04-30,297.0
2023-05-31,149.0
2023-06-30,425.0
2023-07-31,772.0
2023-08-31,5.0
2023-09-30,4.0
2023-10-31,0.0
2023-11-30,163.0
2023-12-31,150.0
2024-01-31,0.0
2024-02-29,119.0
2024-03-31,706.0
2024-04-30,0.0
2024-05-31,57.0
2024-06-30,0.0
2024-07-31,0.0
2024-08-31,8.0
2024-09-30,1060.0
2024-10-31,16.0
2024-11-30,57.0
2024-12-31,0.0
2025-01-31,4.0
2025-02-28,8.0
2025-03-31,0.0
2025-04-30,0.0
2025-05-31,0.0
2025-06-30,3.0
2025-07-31,0.0
2025-08-31,0.0
2025-09-30,0.0
2025-10-31,0.0
2025-11-30,0.0
2025-12-31,29.0
2026-01-31,0.0
2026-02-28,0.0
2026-03-31,0.0
2026-04-30,0.0
2026-05-31,0.0
2026-06-30,0.0
2026-07-31,3.0
