date,C50:MCA.MDB.M1
2019-01-31,68630.0
2019-02-28,69243.0
2019-03-31,71001.0
2019-04-30,72407.0
2019-05-31,71541.0
2019-06-30,73399.0
2019-07-31,74510.0
2019-08-31,72722.0
2019-09-30,75370.0
2019-10-31,76187.0
2019-11-30,78758.0
2019-12-31,80331.0
2020-01-31,78690.0
2020-02-29,80489.0
2020-03-31,91128.0
2020-04-30,96079.0
2020-05-31,95289.0
2020-06-30,96911.0
2020-07-31,98755.0
2020-08-31,103539.0
2020-09-30,104261.0
2020-10-31,106399.0
2020-11-30,109879.0
2020-12-31,114923.0
2021-01-31,111311.0
2021-02-28,114690.0
2021-03-31,119403.0
2021-04-30,122071.0
2021-05-31,121024.0
2021-06-30,122452.0
2021-07-31,127301.0
2021-08-31,125516.0
2021-09-30,130375.0
2021-10-31,134096.0
2021-11-30,137277.0
2021-12-31,141425.0
2022-01-31,136858.0
2022-02-28,136841.0
2022-03-31,140155.0
2022-04-30,141243.0
2022-05-31,138682.0
2022-06-30,136489.0
2022-07-31,135149.0
2022-08-31,134293.0
2022-09-30,132819.0
2022-10-31,131614.0
2022-11-30,131733.0
2022-12-31,129286.0
2023-01-31,124094.0
2023-02-28,123531.0
2023-03-31,123092.0
2023-04-30,123481.0
2023-05-31,120150.0
2023-06-30,120711.0
2023-07-31,120829.0
2023-08-31,118898.0
2023-09-30,118983.0
2023-10-31,118567.0
2023-11-30,120256.0
2023-12-31,120648.0
2024-01-31,116669.0
2024-02-29,115725.0
2024-03-31,117964.0
2024-04-30,117773.0
2024-05-31,115160.0
2024-06-30,117693.0
2024-07-31,116910.0
2024-08-31,115536.0
2024-09-30,116105.0
2024-10-31,116650.0
2024-11-30,119147.0
2024-12-31,121924.0
2025-01-31,119453.0
2025-02-28,119410.0
2025-03-31,122194.0
2025-04-30,125554.0
2025-05-31,124052.0
2025-06-30,124682.0
2025-07-31,127017.0
2025-08-31,124399.0
2025-09-30,128990.0
2025-10-31,130730.0
2025-11-30,131123.0
2025-12-31,134663.0
2026-01-31,130122.0
2026-02-28,132962.0
2026-03-31,137977.0
2026-04-30,137839.0
2026-05-31,134767.0
2026-06-30,137973.0
2026-07-31,138369.0
