date,ac_repos_payable
2024-10-10,261405.9
2024-10-20,249585.3
2024-10-31,224968.8
2024-11-10,205891.5
2024-11-20,256487.3
2024-11-30,252092.3
2024-12-10,338133.9
2024-12-20,146717.9
2024-12-31,112023.6
2025-01-10,174166.7
2025-01-20,269929.2
2025-01-31,276867.3
2025-02-10,323737.2
2025-02-20,338318.9
2025-02-28,346200.3
2025-03-10,363423.0
2025-03-20,367544.9
2025-03-31,128331.1
2025-04-10,190965.0
2025-04-20,124344.0
2025-04-30,102046.2
2025-05-10,151477.5
2025-05-20,204496.2
2025-05-31,206876.0
2025-06-10,289967.9
2025-06-20,93590.5
2025-06-30,88559.4
2025-07-10,149373.5
2025-07-20,205991.0
2025-07-31,128714.3
2025-08-10,247375.3
2025-08-20,190087.5
2025-08-31,194240.4
2025-09-10,247189.0
2025-09-20,328664.2
2025-09-30,108521.7
2025-10-10,232438.1
2025-10-20,164059.5
2025-10-31,164899.7
2025-11-10,187153.6
2025-11-20,256126.7
2025-11-30,246460.9
2025-12-10,432980.1
2025-12-20,365212.7
2025-12-31,92177.5
2026-01-10,178487.5
2026-01-20,261592.2
2026-01-31,278161.7
2026-02-10,356771.9
2026-02-20,370600.2
2026-02-28,361990.5
2026-03-10,446621.3
2026-03-20,469890.8
2026-03-31,179871.2
2026-04-10,233924.8
2026-04-20,121870.5
2026-04-30,120957.4
2026-05-10,166983.7
2026-05-20,348749.9
2026-05-31,342108.4
2026-06-10,433342.0
2026-06-20,403660.6
2026-06-30,179926.9
2026-07-10,244498.4
2026-07-20,307369.1
2026-07-31,225484.8
2026-08-10,335000.7
2026-08-20,362615.6
2026-08-31,374311.4
