date,rem_daily
2025-10-01,0.0
2025-10-02,0.0
2025-10-03,0.0
2025-10-06,0.0
2025-10-07,0.0
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,0.0
2025-10-14,0.0
2025-10-16,24200.0
2025-10-17,1100.0
2025-10-20,700.0
2025-10-21,500.0
2025-10-22,400.0
2025-10-23,400.0
2025-10-24,200.0
2025-10-27,100.0
2025-10-28,100.0
2025-10-29,0.0
2025-10-30,0.0
2025-10-31,0.0
2025-11-04,0.0
2025-11-05,0.0
2025-11-06,0.0
2025-11-07,0.0
2025-11-10,0.0
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,0.0
2025-11-17,5400.0
2025-11-18,2900.0
2025-11-19,1900.0
2025-11-20,1500.0
2025-11-21,700.0
2025-11-25,600.0
2025-11-26,600.0
2025-11-27,500.0
2025-11-28,400.0
2025-12-01,300.0
2025-12-02,300.0
2025-12-03,200.0
2025-12-04,200.0
2025-12-05,200.0
2025-12-08,100.0
2025-12-09,100.0
2025-12-10,0.0
2025-12-11,0.0
2025-12-12,0.0
2025-12-16,30100.0
2025-12-17,6400.0
2025-12-18,3000.0
2025-12-19,900.0
2025-12-22,600.0
2025-12-23,500.0
2025-12-24,500.0
2025-12-25,400.0
2025-12-26,300.0
2025-12-29,300.0
2025-12-30,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,0.0
2026-01-13,0.0
2026-01-14,0.0
2026-01-16,3400.0
2026-01-19,2400.0
2026-01-20,1900.0
2026-01-21,1600.0
2026-01-22,1300.0
2026-01-23,600.0
2026-01-26,500.0
2026-01-27,500.0
2026-01-28,400.0
2026-01-29,400.0
2026-01-30,200.0
2026-02-02,100.0
2026-02-03,0.0
2026-02-04,0.0
2026-02-05,0.0
2026-02-06,0.0
2026-02-09,0.0
2026-02-10,0.0
2026-02-12,0.0
2026-02-16,24000.0
2026-02-17,5300.0
2026-02-18,2400.0
2026-02-19,1300.0
2026-02-20,400.0
2026-02-24,400.0
2026-02-25,400.0
2026-02-26,400.0
2026-02-27,300.0
2026-03-02,200.0
2026-03-03,200.0
2026-03-04,100.0
2026-03-05,100.0
2026-03-06,0.0
2026-03-09,0.0
2026-03-10,0.0
2026-03-11,0.0
2026-03-12,0.0
2026-03-16,36600.0
2026-03-17,9200.0
2026-03-18,4300.0
2026-03-19,1100.0
2026-03-23,900.0
2026-03-24,700.0
2026-03-25,500.0
2026-03-26,400.0
2026-03-27,300.0
2026-03-30,200.0
2026-03-31,100.0
2026-04-01,100.0
2026-04-02,0.0
2026-04-03,0.0
2026-04-06,0.0
2026-04-07,0.0
2026-04-08,0.0
2026-04-09,0.0
2026-04-10,0.0
2026-04-13,0.0
2026-04-14,0.0
2026-04-16,30300.0
2026-04-17,1500.0
2026-04-20,800.0
2026-04-21,600.0
2026-04-22,500.0
2026-04-23,400.0
2026-04-24,300.0
2026-04-27,200.0
2026-04-28,100.0
2026-04-30,100.0
2026-05-01,0.0
2026-05-07,0.0
2026-05-08,0.0
2026-05-11,0.0
2026-05-12,0.0
2026-05-13,0.0
2026-05-14,0.0
2026-05-18,3700.0
2026-05-19,2100.0
2026-05-20,1300.0
2026-05-21,1000.0
2026-05-22,500.0
2026-05-25,400.0
2026-05-26,400.0
2026-05-27,400.0
2026-05-28,300.0
2026-05-29,200.0
2026-06-01,200.0
2026-06-02,100.0
2026-06-03,100.0
2026-06-04,0.0
2026-06-05,0.0
2026-06-08,0.0
2026-06-09,0.0
2026-06-10,0.0
2026-06-11,0.0
2026-06-12,0.0
2026-06-16,34600.0
2026-06-17,7100.0
2026-06-18,3400.0
2026-06-19,1300.0
2026-06-22,1100.0
2026-06-23,800.0
2026-06-24,500.0
2026-06-25,400.0
2026-06-26,200.0
2026-06-29,100.0
2026-06-30,100.0
2026-07-01,0.0
2026-07-02,0.0
2026-07-03,0.0
2026-07-06,0.0
2026-07-07,0.0
2026-07-08,0.0
2026-07-09,0.0
2026-07-10,0.0
2026-07-13,0.0
2026-07-14,0.0
2026-07-16,41700.0
2026-07-17,2000.0
2026-07-21,1400.0
2026-07-22,800.0
2026-07-23,600.0
2026-07-24,300.0
2026-07-27,300.0
2026-07-28,200.0
2026-07-29,100.0
2026-07-30,100.0
2026-07-31,0.0
2026-08-03,0.0
2026-08-04,0.0
2026-08-05,0.0
2026-08-06,0.0
2026-08-07,0.0
2026-08-10,0.0
2026-08-12,0.0
2026-08-13,0.0
2026-08-17,9500.0
2026-08-18,4000.0
2026-08-19,2500.0
2026-08-20,1600.0
2026-08-21,200.0
2026-08-24,100.0
2026-08-25,100.0
2026-08-26,100.0
2026-08-27,100.0
2026-08-28,0.0
2026-08-31,0.0
2026-09-01,0.0
2026-09-02,0.0
2026-09-03,0.0
2026-09-04,0.0
2026-09-07,0.0
