date,MAM1NAM2M2MO
2016-07-31,9404959.0
2016-08-31,9399942.0
2016-09-30,9407430.0
2016-10-31,9429381.0
2016-11-30,9494509.0
2016-12-31,9563427.0
2017-01-31,9590487.0
2017-02-28,9561292.0
2017-03-31,9597629.0
2017-04-30,9702896.0
2017-05-31,9723663.0
2017-06-30,9763583.0
2017-07-31,9781486.0
2017-08-31,9776216.0
2017-09-30,9788225.0
2017-10-31,9813059.0
2017-11-30,9874847.0
2017-12-31,9905721.0
2018-01-31,9917009.0
2018-02-28,9865773.0
2018-03-31,9890903.0
2018-04-30,10010867.0
2018-05-31,10031511.0
2018-06-30,10066296.0
2018-07-31,10068028.0
2018-08-31,10056582.0
2018-09-30,10065900.0
2018-10-31,10074396.0
2018-11-30,10105049.0
2018-12-31,10142429.0
2019-01-31,10147973.0
2019-02-28,10097697.0
2019-03-31,10125050.0
2019-04-30,10252191.0
2019-05-31,10286310.0
2019-06-30,10289611.0
2019-07-31,10290435.0
2019-08-31,10284205.0
2019-09-30,10295668.0
2019-10-31,10304091.0
2019-11-30,10365381.0
2019-12-31,10404214.0
2020-01-31,10416148.0
2020-02-29,10384810.0
2020-03-31,10442899.0
2020-04-30,10630037.0
2020-05-31,10812699.0
2020-06-30,11036494.0
2020-07-31,11102775.0
2020-08-31,11168053.0
2020-09-30,11219593.0
2020-10-31,11232567.0
2020-11-30,11306001.0
2020-12-31,11359680.0
2021-01-31,11400194.0
2021-02-28,11384748.0
2021-03-31,11436375.0
2021-04-30,11617797.0
2021-05-31,11675413.0
2021-06-30,11690901.0
2021-07-31,11690056.0
2021-08-31,11688405.0
2021-09-30,11691501.0
2021-10-31,11705647.0
2021-11-30,11756672.0
2021-12-31,11782086.0
2022-01-31,11813179.0
2022-02-28,11789009.0
2022-03-31,11833171.0
2022-04-30,12018499.0
2022-05-31,12042833.0
2022-06-30,12078178.0
2022-07-31,12088016.0
2022-08-31,12088202.0
2022-09-30,12075500.0
2022-10-31,12064408.0
2022-11-30,12124935.0
2022-12-31,12128301.0
2023-01-31,12132455.0
2023-02-28,12091386.0
2023-03-31,12134406.0
2023-04-30,12326939.0
2023-05-31,12360428.0
2023-06-30,12392324.0
2023-07-31,12388936.0
2023-08-31,12385266.0
2023-09-30,12363619.0
2023-10-31,12353137.0
2023-11-30,12399055.0
2023-12-31,12409742.0
2024-01-31,12430886.0
2024-02-29,12387111.0
2024-03-31,12443081.0
2024-04-30,12599890.0
2024-05-31,12588866.0
2024-06-30,12574420.0
2024-07-31,12569139.0
2024-08-31,12548351.0
2024-09-30,12517047.0
2024-10-31,12500641.0
2024-11-30,12549271.0
2024-12-31,12576036.0
2025-01-31,12594584.0
2025-02-28,12532312.0
2025-03-31,12546125.0
2025-04-30,12661783.0
2025-05-31,12670430.0
2025-06-30,12681276.0
2025-07-31,12696115.0
2025-08-31,12712303.0
2025-09-30,12708455.0
2025-10-31,12701975.0
2025-11-30,12766866.0
2025-12-31,12789115.0
2026-01-31,12790601.0
2026-02-28,12747378.0
2026-03-31,12795038.0
2026-04-30,12956204.0
2026-05-31,12980901.0
2026-06-30,12961250.0
2026-07-31,12970074.0
