date,gov_bonds_over_1y_balance_py
2024-04-30,112354.56
2024-05-31,107936.02
2024-06-30,44238.86
2024-07-31,121418.35
2024-08-31,100580.02
2024-09-30,63238.55
2024-10-31,110729.25
2024-11-30,119000.03
2024-12-31,58352.66
2025-01-31,98755.69
2025-02-28,124508.46
2025-03-31,55701.53
2025-04-30,95049.21
2025-05-31,108749.0
2025-06-30,40214.16
2025-07-31,112271.46
2025-08-31,103118.47
2025-09-30,58216.81
2025-10-31,100167.64
2025-11-30,101850.85
2025-12-31,53966.71
2026-01-31,96014.04
2026-02-28,88109.7
2026-03-31,45142.64
2026-04-30,103164.16
2026-05-31,107478.91
2026-06-30,56804.82
2026-07-31,106086.63
2026-08-31,83969.88
