date,subtotal
2025-10-01,-2600.0
2025-10-02,-500.0
2025-10-03,2100.0
2025-10-06,300.0
2025-10-07,-2000.0
2025-10-08,100.0
2025-10-09,8800.0
2025-10-10,600.0
2025-10-14,100.0
2025-10-15,-600.0
2025-10-16,-100.0
2025-10-17,9700.0
2025-10-20,-600.0
2025-10-21,600.0
2025-10-22,0.0
2025-10-23,6800.0
2025-10-24,-1200.0
2025-10-27,-1700.0
2025-10-28,200.0
2025-10-29,6800.0
2025-10-30,1300.0
2025-10-31,-800.0
2025-11-04,-2500.0
2025-11-05,300.0
2025-11-06,1400.0
2025-11-07,7600.0
2025-11-10,-300.0
2025-11-11,700.0
2025-11-12,-200.0
2025-11-13,6800.0
2025-11-14,300.0
2025-11-17,-100.0
2025-11-18,300.0
2025-11-19,-100.0
2025-11-20,-500.0
2025-11-21,6900.0
2025-11-25,-4300.0
2025-11-26,2300.0
2025-11-27,1700.0
2025-11-28,7400.0
2025-12-01,-6000.0
2025-12-02,600.0
2025-12-03,-1500.0
2025-12-04,9300.0
2025-12-05,600.0
2025-12-08,-600.0
2025-12-09,-1200.0
2025-12-10,300.0
2025-12-11,7300.0
2025-12-12,-800.0
2025-12-15,-40500.0
2025-12-16,-700.0
2025-12-17,-100.0
2025-12-18,8900.0
2025-12-19,-1300.0
2025-12-22,-4900.0
2025-12-23,1900.0
2025-12-24,0.0
2025-12-25,7500.0
2025-12-26,1000.0
2025-12-29,-500.0
2025-12-30,1100.0
2026-01-05,-1800.0
2026-01-06,-900.0
2026-01-07,-1000.0
2026-01-08,8000.0
2026-01-09,-3700.0
2026-01-13,1900.0
2026-01-14,1400.0
2026-01-15,800.0
2026-01-16,6000.0
2026-01-19,-700.0
2026-01-20,500.0
2026-01-21,-800.0
2026-01-22,8000.0
2026-01-23,-1200.0
2026-01-26,-900.0
2026-01-27,800.0
2026-01-28,-400.0
2026-01-29,-500.0
2026-01-30,47400.0
2026-02-02,-1100.0
2026-02-03,-200.0
2026-02-04,400.0
2026-02-05,6700.0
2026-02-06,400.0
2026-02-09,-1600.0
2026-02-10,0.0
2026-02-12,1200.0
2026-02-13,8900.0
2026-02-16,-1300.0
2026-02-17,1800.0
2026-02-18,100.0
2026-02-19,5700.0
2026-02-20,-1900.0
2026-02-24,0.0
2026-02-25,0.0
2026-02-26,-100.0
2026-02-27,5300.0
2026-03-02,-7500.0
2026-03-03,0.0
2026-03-04,-500.0
2026-03-05,6700.0
2026-03-06,-800.0
2026-03-09,-100.0
2026-03-10,-2900.0
2026-03-11,6700.0
2026-03-12,200.0
2026-03-13,-200.0
2026-03-16,-50400.0
2026-03-17,9500.0
2026-03-18,-100.0
2026-03-19,1400.0
2026-03-23,-3700.0
2026-03-24,1100.0
2026-03-25,1300.0
2026-03-26,7000.0
2026-03-27,-700.0
2026-03-30,-2400.0
2026-03-31,2300.0
2026-04-01,-4400.0
2026-04-02,2300.0
2026-04-03,4800.0
2026-04-06,3100.0
2026-04-07,-700.0
2026-04-08,-200.0
2026-04-09,5100.0
2026-04-10,700.0
2026-04-13,-1200.0
2026-04-14,1000.0
2026-04-15,-1500.0
2026-04-16,7700.0
2026-04-17,1000.0
2026-04-20,-1500.0
2026-04-21,1000.0
2026-04-22,-100.0
2026-04-23,900.0
2026-04-24,8400.0
2026-04-27,-1000.0
2026-04-28,300.0
2026-04-30,400.0
2026-05-01,-1100.0
2026-05-07,400.0
2026-05-08,500.0
2026-05-11,-1700.0
2026-05-12,7800.0
2026-05-13,800.0
2026-05-14,300.0
2026-05-15,-400.0
2026-05-18,5500.0
2026-05-19,400.0
2026-05-20,-700.0
2026-05-21,-100.0
2026-05-22,6900.0
2026-05-25,1300.0
2026-05-26,100.0
2026-05-27,100.0
2026-05-28,-600.0
2026-05-29,6000.0
2026-06-01,-1300.0
2026-06-02,800.0
2026-06-03,-3300.0
2026-06-04,3600.0
2026-06-05,200.0
2026-06-08,-200.0
2026-06-09,-500.0
2026-06-10,300.0
2026-06-11,-800.0
2026-06-12,6200.0
2026-06-15,-1300.0
2026-06-16,1300.0
2026-06-17,100.0
2026-06-18,-70000.0
2026-06-19,-15800.0
2026-06-22,-900.0
2026-06-23,800.0
2026-06-24,0.0
2026-06-25,-3200.0
2026-06-26,3300.0
2026-06-29,5500.0
2026-06-30,300.0
2026-07-01,-300.0
2026-07-02,500.0
2026-07-03,-500.0
2026-07-06,-500.0
2026-07-07,4300.0
2026-07-08,500.0
2026-07-09,-400.0
2026-07-10,-100.0
2026-07-13,0.0
2026-07-14,400.0
2026-07-15,-200.0
2026-07-16,7300.0
2026-07-17,-800.0
2026-07-21,38500.0
2026-07-22,300.0
2026-07-23,200.0
2026-07-24,7700.0
2026-07-27,-100.0
2026-07-28,-400.0
2026-07-29,-200.0
2026-07-30,3900.0
2026-07-31,-200.0
2026-08-03,-500.0
2026-08-04,800.0
2026-08-05,-400.0
2026-08-06,5100.0
2026-08-07,200.0
2026-08-10,200.0
2026-08-12,200.0
2026-08-13,-400.0
2026-08-14,7100.0
2026-08-17,-1100.0
2026-08-18,1000.0
2026-08-19,-100.0
2026-08-20,6900.0
2026-08-21,100.0
2026-08-24,400.0
2026-08-25,-100.0
2026-08-26,200.0
2026-08-27,-200.0
2026-08-28,3700.0
2026-08-31,-500.0
2026-09-01,-100.0
2026-09-02,100.0
2026-09-03,3900.0
2026-09-04,100.0
2026-09-07,-1000.0
2026-09-08,700.0
2026-09-09,100.0
2026-09-10,7000.0
