date,offer_5y
2022-01-12,25000.0
2022-02-15,25000.0
2022-03-08,25000.0
2022-04-12,25000.0
2022-05-18,25000.0
2022-06-21,25000.0
2022-07-12,25000.0
2022-08-16,25000.0
2022-09-13,25000.0
2022-10-14,25000.0
2022-11-15,25000.0
2022-12-08,25000.0
2023-01-13,25000.0
2023-02-16,25000.0
2023-03-14,25000.0
2023-04-11,25000.0
2023-05-15,25000.0
2023-06-22,25000.0
2023-07-11,25000.0
2023-08-15,25000.0
2023-09-12,25000.0
2023-10-11,25000.0
2023-11-14,25000.0
2023-12-12,25000.0
2024-01-16,25000.0
2024-02-09,25000.0
2024-03-12,25000.0
2024-04-09,23000.0
2024-05-14,23000.0
2024-06-20,23000.0
2024-07-09,23000.0
2024-08-14,23000.0
2024-09-10,23000.0
2024-10-10,23000.0
2024-11-15,23000.0
2024-12-10,23000.0
2025-01-14,23000.0
2025-02-14,23000.0
2025-03-10,23000.0
2025-04-10,24000.0
2025-05-15,24000.0
2025-06-19,24000.0
2025-07-08,24000.0
2025-08-13,24000.0
2025-09-10,24000.0
2025-10-09,24000.0
2025-11-13,24000.0
2025-12-09,24000.0
2026-01-14,25000.0
2026-02-17,25000.0
2026-03-11,25000.0
2026-04-09,25000.0
2026-05-18,25000.0
2026-06-23,25000.0
2026-07-09,25000.0
