date,filp_payments
2024-04-30,18275.37
2024-05-31,16252.28
2024-06-30,10030.53
2024-07-31,6837.58
2024-08-31,10088.89
2024-09-30,14617.15
2024-10-31,6979.69
2024-11-30,2566.82
2024-12-31,5157.14
2025-01-31,5689.31
2025-02-28,14169.47
2025-03-31,41951.23
2025-04-30,17155.33
2025-05-31,12125.23
2025-06-30,9840.61
2025-07-31,4809.86
2025-08-31,9665.99
2025-09-30,7059.68
2025-10-31,3943.13
2025-11-30,5929.18
2025-12-31,5364.24
2026-01-31,5094.7
2026-02-28,10801.9
2026-03-31,43718.65
2026-04-30,8004.94
2026-05-31,11563.87
2026-06-30,5132.95
2026-07-31,4649.41
2026-08-31,6059.6
