date,taxes_payments_py
2024-04-30,23289.33
2024-05-31,12267.68
2024-06-30,31630.81
2024-07-31,35248.48
2024-08-31,34231.34
2024-09-30,16032.43
2024-10-31,12524.97
2024-11-30,8929.43
2024-12-31,19807.28
2025-01-31,12481.32
2025-02-28,9479.52
2025-03-31,27014.1
2025-04-30,23675.97
2025-05-31,13130.33
2025-06-30,30265.51
2025-07-31,36313.17
2025-08-31,22269.56
2025-09-30,16587.03
2025-10-31,11809.21
2025-11-30,15606.71
2025-12-31,17339.65
2026-01-31,10223.62
2026-02-28,12945.72
2026-03-31,26836.82
2026-04-30,25272.04
2026-05-31,14453.28
2026-06-30,31039.41
2026-07-31,29991.52
2026-08-31,14840.05
