date,9Y
2023-01-04,0.504
2023-01-05,0.494
2023-01-06,0.495
2023-01-10,0.527
2023-01-11,0.531
2023-01-12,0.598
2023-01-13,0.636
2023-01-16,0.594
2023-01-17,0.598
2023-01-18,0.516
2023-01-19,0.473
2023-01-20,0.422
2023-01-23,0.36
2023-01-24,0.377
2023-01-25,0.415
2023-01-26,0.432
2023-01-27,0.51
2023-01-30,0.493
2023-01-31,0.535
2023-02-01,0.506
2023-02-02,0.487
2023-02-03,0.45
2023-02-06,0.473
2023-02-07,0.487
2023-02-08,0.488
2023-02-09,0.498
2023-02-10,0.509
2023-02-13,0.509
2023-02-14,0.501
2023-02-15,0.491
2023-02-16,0.514
2023-02-17,0.533
2023-02-20,0.533
2023-02-21,0.555
2023-02-22,0.56
2023-02-24,0.531
2023-02-27,0.54
2023-02-28,0.52
2023-03-01,0.52
2023-03-02,0.542
2023-03-03,0.54
2023-03-06,0.569
2023-03-07,0.555
2023-03-08,0.555
2023-03-09,0.589
2023-03-10,0.483
2023-03-13,0.424
2023-03-14,0.301
2023-03-15,0.33
2023-03-16,0.275
2023-03-17,0.275
2023-03-20,0.216
2023-03-22,0.279
2023-03-23,0.258
2023-03-24,0.253
2023-03-27,0.259
2023-03-28,0.278
2023-03-29,0.26
2023-03-30,0.286
2023-03-31,0.301
2023-04-03,0.347
2023-04-04,0.394
2023-04-05,0.391
2023-04-06,0.378
2023-04-07,0.386
2023-04-10,0.398
2023-04-11,0.377
2023-04-12,0.387
2023-04-13,0.384
2023-04-14,0.388
2023-04-17,0.426
2023-04-18,0.418
2023-04-19,0.423
2023-04-20,0.42
2023-04-21,0.403
2023-04-24,0.41
2023-04-25,0.415
2023-04-26,0.386
2023-04-27,0.383
2023-04-28,0.324
2023-05-01,0.33
2023-05-02,0.345
2023-05-08,0.331
2023-05-09,0.346
2023-05-10,0.336
2023-05-11,0.315
2023-05-12,0.31
2023-05-15,0.337
2023-05-16,0.322
2023-05-17,0.298
2023-05-18,0.323
2023-05-19,0.343
2023-05-22,0.324
2023-05-23,0.338
2023-05-24,0.348
2023-05-25,0.368
2023-05-26,0.359
2023-05-29,0.374
2023-05-30,0.369
2023-05-31,0.364
2023-06-01,0.355
2023-06-02,0.35
2023-06-05,0.375
2023-06-06,0.361
2023-06-07,0.355
2023-06-08,0.376
2023-06-09,0.37
2023-06-12,0.367
2023-06-13,0.352
2023-06-14,0.367
2023-06-15,0.367
2023-06-16,0.348
2023-06-19,0.339
2023-06-20,0.333
2023-06-21,0.319
2023-06-22,0.314
2023-06-23,0.31
2023-06-26,0.29
2023-06-27,0.311
2023-06-28,0.326
2023-06-29,0.32
2023-06-30,0.33
2023-07-03,0.335
2023-07-04,0.312
2023-07-05,0.302
2023-07-06,0.326
2023-07-07,0.369
2023-07-10,0.42
2023-07-11,0.405
2023-07-12,0.438
2023-07-13,0.425
2023-07-14,0.444
2023-07-18,0.449
2023-07-19,0.425
2023-07-20,0.42
2023-07-21,0.427
2023-07-24,0.39
2023-07-25,0.39
2023-07-26,0.371
2023-07-27,0.361
2023-07-28,0.466
2023-07-31,0.526
2023-08-01,0.513
2023-08-02,0.547
2023-08-03,0.585
2023-08-04,0.581
2023-08-07,0.558
2023-08-08,0.548
2023-08-09,0.505
2023-08-10,0.525
2023-08-14,0.555
2023-08-15,0.559
2023-08-16,0.56
2023-08-17,0.585
2023-08-18,0.56
2023-08-21,0.58
2023-08-22,0.594
2023-08-23,0.599
2023-08-24,0.57
2023-08-25,0.58
2023-08-28,0.581
2023-08-29,0.561
2023-08-30,0.572
2023-08-31,0.562
2023-09-01,0.548
2023-09-04,0.563
2023-09-05,0.578
2023-09-06,0.573
2023-09-07,0.582
2023-09-08,0.568
2023-09-11,0.631
2023-09-12,0.637
2023-09-13,0.637
2023-09-14,0.638
2023-09-15,0.633
2023-09-19,0.648
2023-09-20,0.648
2023-09-21,0.667
2023-09-22,0.667
2023-09-25,0.654
2023-09-26,0.669
2023-09-27,0.669
2023-09-28,0.692
2023-09-29,0.703
2023-10-02,0.713
2023-10-03,0.703
2023-10-04,0.755
2023-10-05,0.741
2023-10-06,0.737
2023-10-10,0.71
2023-10-11,0.705
2023-10-12,0.682
2023-10-13,0.69
2023-10-16,0.683
2023-10-17,0.707
2023-10-18,0.735
2023-10-19,0.773
2023-10-20,0.769
2023-10-23,0.793
2023-10-24,0.775
2023-10-25,0.784
2023-10-26,0.828
2023-10-27,0.822
2023-10-30,0.838
2023-10-31,0.885
2023-11-01,0.889
2023-11-02,0.852
2023-11-06,0.815
2023-11-07,0.82
2023-11-08,0.787
2023-11-09,0.778
2023-11-10,0.792
2023-11-13,0.811
2023-11-14,0.785
2023-11-15,0.734
2023-11-16,0.725
2023-11-17,0.687
2023-11-20,0.677
2023-11-21,0.629
2023-11-22,0.664
2023-11-24,0.698
2023-11-27,0.699
2023-11-28,0.683
2023-11-29,0.612
2023-11-30,0.608
2023-12-01,0.636
2023-12-04,0.621
2023-12-05,0.605
2023-12-06,0.585
2023-12-07,0.687
2023-12-08,0.702
2023-12-11,0.707
2023-12-12,0.675
2023-12-13,0.625
2023-12-14,0.612
2023-12-15,0.65
2023-12-18,0.617
2023-12-19,0.588
2023-12-20,0.506
2023-12-21,0.536
2023-12-22,0.574
2023-12-25,0.561
2023-12-26,0.578
2023-12-27,0.542
2023-12-28,0.527
2023-12-29,0.562
2024-01-04,0.557
2024-01-05,0.547
2024-01-09,0.53
2024-01-10,0.533
2024-01-11,0.518
2024-01-12,0.505
2024-01-15,0.477
2024-01-16,0.506
2024-01-17,0.521
2024-01-18,0.57
2024-01-19,0.582
2024-01-22,0.563
