date,gov_bonds_over_1y_receipts_py
2024-04-30,118367.94
2024-05-31,129984.99
2024-06-30,120624.94
2024-07-31,128359.23
2024-08-31,117023.97
2024-09-30,125105.02
2024-10-31,121369.08
2024-11-30,129128.65
2024-12-31,121070.42
2025-01-31,120587.0
2025-02-28,136108.04
2025-03-31,124131.07
2025-04-30,109463.12
2025-05-31,125635.08
2025-06-30,112064.23
2025-07-31,128365.07
2025-08-31,118569.97
2025-09-30,123275.59
2025-10-31,115223.01
2025-11-30,120365.3
2025-12-31,110999.77
2026-01-31,124010.12
2026-02-28,110335.08
2026-03-31,116436.12
2026-04-30,118139.37
2026-05-31,122550.13
2026-06-30,112485.83
2026-07-31,117603.9
2026-08-31,108229.86
