date,MABS1AN11
2016-07-31,4024578.0
2016-08-31,4009981.0
2016-09-30,4075081.0
2016-10-31,4138966.0
2016-11-30,4176573.0
2016-12-31,4263922.0
2017-01-31,4352054.0
2017-02-28,4309696.0
2017-03-31,4362634.0
2017-04-30,4562398.0
2017-05-31,4559954.0
2017-06-30,4594854.0
2017-07-31,4650692.0
2017-08-31,4663075.0
2017-09-30,4711205.0
2017-10-31,4738791.0
2017-11-30,4725834.0
2017-12-31,4741265.0
2018-01-31,4772595.0
2018-02-28,4716382.0
2018-03-31,4759328.0
2018-04-30,4920203.0
2018-05-31,4929691.0
2018-06-30,4933638.0
2018-07-31,4976398.0
2018-08-31,4983868.0
2018-09-30,4988216.0
2018-10-31,5016198.0
2018-11-30,5013302.0
2018-12-31,4970034.0
2019-01-31,4997797.0
2019-02-28,4930980.0
2019-03-31,4942027.0
2019-04-30,5073520.0
2019-05-31,5108086.0
2019-06-30,5129912.0
2019-07-31,5160145.0
2019-08-31,5125110.0
2019-09-30,5138266.0
2019-10-31,5171008.0
2019-11-30,5176305.0
2019-12-31,5127767.0
2020-01-31,5141329.0
2020-02-29,5106311.0
2020-03-31,5078486.0
2020-04-30,5189225.0
2020-05-31,5308787.0
2020-06-30,5440233.0
2020-07-31,5667600.0
2020-08-31,5715919.0
2020-09-30,5871952.0
2020-10-31,6012845.0
2020-11-30,6029293.0
2020-12-31,6065491.0
2021-01-31,6114206.0
2021-02-28,6106078.0
2021-03-31,6133816.0
2021-04-30,6448961.0
2021-05-31,6499142.0
2021-06-30,6480471.0
2021-07-31,6541081.0
2021-08-31,6569573.0
2021-09-30,6557964.0
2021-10-31,6607426.0
2021-11-30,6590000.0
2021-12-31,6570831.0
2022-01-31,6627169.0
2022-02-28,6571737.0
2022-03-31,6621323.0
2022-04-30,6874736.0
2022-05-31,6800213.0
2022-06-30,6734841.0
2022-07-31,6722218.0
2022-08-31,6597138.0
2022-09-30,6341934.0
2022-10-31,6152627.0
2022-11-30,6168203.0
2022-12-31,6172224.0
2023-01-31,6376936.0
2023-02-28,6464403.0
2023-03-31,6557809.0
2023-04-30,6759281.0
2023-05-31,6727323.0
2023-06-30,6669938.0
2023-07-31,6633513.0
2023-08-31,6674477.0
2023-09-30,6698608.0
2023-10-31,6706127.0
2023-11-30,6715329.0
2023-12-31,6654863.0
2024-01-31,6680019.0
2024-02-29,6616688.0
2024-03-31,6662400.0
2024-04-30,6898964.0
2024-05-31,6788243.0
2024-06-30,6711098.0
2024-07-31,6701436.0
2024-08-31,6711832.0
2024-09-30,6694463.0
2024-10-31,6688723.0
2024-11-30,6697481.0
2024-12-31,6585240.0
2025-01-31,6511079.0
2025-02-28,6499369.0
2025-03-31,6458519.0
2025-04-30,6569773.0
2025-05-31,6560120.0
2025-06-30,6479525.0
2025-07-31,6438964.0
2025-08-31,6437775.0
2025-09-30,6281080.0
2025-10-31,6165980.0
2025-11-30,6126869.0
2025-12-31,5941943.0
2026-01-31,5894035.0
2026-02-28,5809326.0
2026-03-31,5707875.0
2026-04-30,5829256.0
2026-05-31,5757634.0
2026-06-30,5592039.0
2026-07-31,5549259.0
2026-08-31,5430070.0
