date,taxes_payments
2024-04-30,23675.97
2024-05-31,13130.33
2024-06-30,30265.51
2024-07-31,36313.17
2024-08-31,22269.56
2024-09-30,16587.03
2024-10-31,11809.21
2024-11-30,15606.71
2024-12-31,17339.65
2025-01-31,10223.62
2025-02-28,12945.72
2025-03-31,26836.82
2025-04-30,25272.04
2025-05-31,14453.28
2025-06-30,31039.41
2025-07-31,29991.52
2025-08-31,14840.05
2025-09-30,16356.04
2025-10-31,12111.72
2025-11-30,14703.11
2025-12-31,19428.18
2026-01-31,11124.15
2026-02-28,12611.22
2026-03-31,27857.63
2026-04-30,24959.8
2026-05-31,16852.18
2026-06-30,33585.16
2026-07-31,31901.21
2026-08-31,14066.58
