date,pension_payments_py
2024-04-30,81633.41
2024-05-31,19028.34
2024-06-30,84024.78
2024-07-31,16325.1
2024-08-31,86141.44
2024-09-30,21956.49
2024-10-31,93614.76
2024-11-30,16676.92
2024-12-31,84973.67
2025-01-31,19841.68
2025-02-28,89209.54
2025-03-31,29197.52
2025-04-30,79751.51
2025-05-31,19432.74
2025-06-30,86828.73
2025-07-31,16539.87
2025-08-31,92783.78
2025-09-30,22849.94
2025-10-31,87915.15
2025-11-30,32879.52
2025-12-31,87020.48
2026-01-31,18523.69
2026-02-28,90881.95
2026-03-31,26754.79
2026-04-30,78497.74
2026-05-31,16735.62
2026-06-30,88072.69
2026-07-31,16804.38
2026-08-31,97553.06
