date,jgb_purch
2025-10-09,8000.0
2025-10-17,9500.0
2025-10-23,6800.0
2025-10-29,7900.0
2025-11-07,8300.0
2025-11-13,6900.0
2025-11-21,9200.0
2025-11-28,7300.0
2025-12-04,7600.0
2025-12-11,6400.0
2025-12-18,9700.0
2025-12-25,7200.0
2026-01-08,6600.0
2026-01-16,6600.0
2026-01-22,8000.0
2026-01-30,6100.0
2026-02-05,6900.0
2026-02-13,9100.0
2026-02-19,5600.0
2026-02-27,6100.0
2026-03-05,6700.0
2026-03-11,6600.0
2026-03-17,8000.0
2026-03-26,6100.0
2026-04-06,4100.0
2026-04-09,5600.0
2026-04-16,7700.0
2026-04-24,8300.0
2026-05-12,6600.0
2026-05-18,5300.0
2026-05-22,7700.0
2026-05-29,5300.0
2026-06-04,4400.0
2026-06-12,7500.0
2026-06-19,7700.0
2026-06-29,5600.0
2026-07-07,4600.0
2026-07-16,7200.0
2026-07-24,7500.0
2026-07-30,4100.0
2026-08-06,5200.0
2026-08-14,6800.0
2026-08-20,7200.0
2026-08-28,4100.0
2026-09-03,4700.0
