date,MACAB1201
2016-07-31,2988770.0
2016-08-31,3028225.0
2016-09-30,3102795.0
2016-10-31,3163703.0
2016-11-30,3137222.0
2016-12-31,3309392.0
2017-01-31,3278513.0
2017-02-28,3278035.0
2017-03-31,3423380.0
2017-04-30,3545872.0
2017-05-31,3497515.0
2017-06-30,3608343.0
2017-07-31,3585703.0
2017-08-31,3628107.0
2017-09-30,3677310.0
2017-10-31,3694797.0
2017-11-30,3624525.0
2017-12-31,3690733.0
2018-01-31,3646469.0
2018-02-28,3645545.0
2018-03-31,3754927.0
2018-04-30,3860159.0
2018-05-31,3809831.0
2018-06-30,3895570.0
2018-07-31,3872277.0
2018-08-31,3895812.0
2018-09-30,3905454.0
2018-10-31,3938458.0
2018-11-30,3860415.0
2018-12-31,3875291.0
2019-01-31,3834766.0
2019-02-28,3801597.0
2019-03-31,3886720.0
2019-04-30,3972683.0
2019-05-31,3964354.0
2019-06-30,4057463.0
2019-07-31,4007302.0
2019-08-31,4003115.0
2019-09-30,4034692.0
2019-10-31,4077657.0
2019-11-30,3995293.0
2019-12-31,3998231.0
2020-01-31,3968122.0
2020-02-29,3960426.0
2020-03-31,3956147.0
2020-04-30,4089771.0
2020-05-31,4195815.0
2020-06-30,4409458.0
2020-07-31,4503423.0
2020-08-31,4571253.0
2020-09-30,4782503.0
2020-10-31,4861976.0
2020-11-30,4808220.0
2020-12-31,4911021.0
2021-01-31,4885958.0
2021-02-28,4879432.0
2021-03-31,5093352.0
2021-04-30,5292043.0
2021-05-31,5242320.0
2021-06-30,5323731.0
2021-07-31,5328946.0
2021-08-31,5341076.0
2021-09-30,5370731.0
2021-10-31,5392082.0
2021-11-30,5309039.0
2021-12-31,5385987.0
2022-01-31,5327058.0
2022-02-28,5346378.0
2022-03-31,5515753.0
2022-04-30,5610031.0
2022-05-31,5463041.0
2022-06-30,5530687.0
2022-07-31,5399040.0
2022-08-31,5236479.0
2022-09-30,4978465.0
2022-10-31,4914681.0
2022-11-30,4857520.0
2022-12-31,5007178.0
2023-01-31,5156848.0
2023-02-28,5219652.0
2023-03-31,5413393.0
2023-04-30,5503496.0
2023-05-31,5394729.0
2023-06-30,5426823.0
2023-07-31,5373414.0
2023-08-31,5435546.0
2023-09-30,5441408.0
2023-10-31,5485172.0
2023-11-30,5382846.0
2023-12-31,5426644.0
2024-01-31,5367556.0
2024-02-29,5339437.0
2024-03-31,5537866.0
2024-04-30,5630530.0
2024-05-31,5472514.0
2024-06-30,5489248.0
2024-07-31,5442609.0
2024-08-31,5468893.0
2024-09-30,5439376.0
2024-10-31,5475849.0
2024-11-30,5376057.0
2024-12-31,5298022.0
2025-01-31,5219358.0
2025-02-28,5253831.0
2025-03-31,5255124.0
2025-04-30,5377890.0
2025-05-31,5273962.0
2025-06-30,5254067.0
2025-07-31,5216118.0
2025-08-31,5176198.0
2025-09-30,4972573.0
2025-10-31,4957890.0
2025-11-30,4799715.0
2025-12-31,4695240.0
2026-01-31,4613500.0
2026-02-28,4546820.0
2026-03-31,4532503.0
2026-04-30,4630987.0
2026-05-31,4453535.0
2026-06-30,4376050.0
2026-07-31,4298010.0
