date,filp_receipts
2024-04-30,15619.62
2024-05-31,5533.45
2024-06-30,13112.72
2024-07-31,6676.37
2024-08-31,14016.8
2024-09-30,39416.08
2024-10-31,6388.16
2024-11-30,3758.8
2024-12-31,9139.54
2025-01-31,4415.97
2025-02-28,7856.66
2025-03-31,34087.02
2025-04-30,15517.95
2025-05-31,4296.98
2025-06-30,14035.43
2025-07-31,3174.98
2025-08-31,9164.48
2025-09-30,31454.4
2025-10-31,7125.41
2025-11-30,4552.25
2025-12-31,6860.82
2026-01-31,4450.1
2026-02-28,5253.26
2026-03-31,31202.66
2026-04-30,7743.5
2026-05-31,3765.93
2026-06-30,10583.19
2026-07-31,4684.71
2026-08-31,7487.92
