date,req_cum
2025-10-01,3983200.0
2025-10-02,3983200.0
2025-10-03,3983200.0
2025-10-06,3983200.0
2025-10-07,3978100.0
2025-10-08,3978100.0
2025-10-09,3978100.0
2025-10-10,3978100.0
2025-10-14,3978100.0
2025-10-15,3978100.0
2025-10-16,4104100.0
2025-10-17,4104100.0
2025-10-20,4104100.0
2025-10-21,4104100.0
2025-10-22,4104100.0
2025-10-23,4104100.0
2025-10-24,4104100.0
2025-10-27,4104100.0
2025-10-28,4104100.0
2025-10-29,4104100.0
2025-10-30,4104100.0
2025-10-31,4104100.0
2025-11-04,4104100.0
2025-11-05,4104100.0
2025-11-06,4104100.0
2025-11-07,4100400.0
2025-11-10,4100400.0
2025-11-11,4100400.0
2025-11-12,4100400.0
2025-11-13,4100400.0
2025-11-14,4100400.0
2025-11-17,3979900.0
2025-11-18,3979900.0
2025-11-19,3979900.0
2025-11-20,3979900.0
2025-11-21,3979900.0
2025-11-25,3979900.0
2025-11-26,3979900.0
2025-11-27,3979900.0
2025-11-28,3979900.0
2025-12-01,3979900.0
2025-12-02,3979900.0
2025-12-03,3979900.0
2025-12-04,3979900.0
2025-12-05,3987700.0
2025-12-08,3987700.0
2025-12-09,3987700.0
2025-12-10,3987700.0
2025-12-11,3987700.0
2025-12-12,3987700.0
2025-12-15,3987700.0
2025-12-16,4132600.0
2025-12-17,4132600.0
2025-12-18,4132600.0
2025-12-19,4132600.0
2025-12-22,4132600.0
2025-12-23,4132600.0
2025-12-24,4132600.0
2025-12-25,4132600.0
2025-12-26,4132600.0
2025-12-29,4132600.0
2025-12-30,4132600.0
2026-01-05,4132600.0
2026-01-06,4132600.0
2026-01-07,4132600.0
2026-01-08,4128200.0
2026-01-09,4128200.0
2026-01-13,4128200.0
2026-01-14,4128200.0
2026-01-15,4128200.0
2026-01-16,4133500.0
2026-01-19,4133500.0
2026-01-20,4133500.0
2026-01-21,4133500.0
2026-01-22,4133500.0
2026-01-23,4133500.0
2026-01-26,4133500.0
2026-01-27,4133500.0
2026-01-28,4133500.0
2026-01-29,4133500.0
2026-01-30,4133500.0
2026-02-02,4133500.0
2026-02-03,4133500.0
2026-02-04,4133500.0
2026-02-05,4133500.0
2026-02-06,4138900.0
2026-02-09,4138900.0
2026-02-10,4138900.0
2026-02-12,4138900.0
2026-02-13,4138900.0
2026-02-16,3731900.0
2026-02-17,3731900.0
2026-02-18,3731900.0
2026-02-19,3731900.0
2026-02-20,3731900.0
2026-02-24,3731900.0
2026-02-25,3731900.0
2026-02-26,3731900.0
2026-02-27,3731900.0
2026-03-02,3731900.0
2026-03-03,3731900.0
2026-03-04,3731900.0
2026-03-05,3731900.0
2026-03-06,3724500.0
2026-03-09,3724500.0
2026-03-10,3724500.0
2026-03-11,3724500.0
2026-03-12,3724500.0
2026-03-13,3724500.0
2026-03-16,4128900.0
2026-03-17,4128900.0
2026-03-18,4128900.0
2026-03-19,4128900.0
2026-03-23,4128900.0
2026-03-24,4128900.0
2026-03-25,4128900.0
2026-03-26,4128900.0
2026-03-27,4128900.0
2026-03-30,4128900.0
2026-03-31,4128900.0
