date,filp_receipts_py
2024-04-30,10683.3
2024-05-31,11313.0
2024-06-30,11249.6
2024-07-31,10058.06
2024-08-31,13394.93
2024-09-30,42625.91
2024-10-31,10562.12
2024-11-30,14542.42
2024-12-31,11764.52
2025-01-31,9884.66
2025-02-28,12242.1
2025-03-31,44118.61
2025-04-30,15619.62
2025-05-31,5533.45
2025-06-30,13112.72
2025-07-31,6676.37
2025-08-31,14016.8
2025-09-30,39416.08
2025-10-31,6388.16
2025-11-30,3758.8
2025-12-31,9139.54
2026-01-31,4415.97
2026-02-28,7856.66
2026-03-31,34087.02
2026-04-30,15517.95
2026-05-31,4296.98
2026-06-30,14035.43
2026-07-31,3174.98
2026-08-31,9164.48
