date,FAAPOBRDCD5
2016-07-31,7921322.0
2016-08-31,7908059.0
2016-09-30,7922617.0
2016-10-31,7939519.0
2016-11-30,7994546.0
2016-12-31,8040511.0
2017-01-31,8064990.0
2017-02-28,8037894.0
2017-03-31,8083356.0
2017-04-30,8191949.0
2017-05-31,8213344.0
2017-06-30,8244506.0
2017-07-31,8246371.0
2017-08-31,8229844.0
2017-09-30,8251731.0
2017-10-31,8262523.0
2017-11-30,8317036.0
2017-12-31,8339561.0
2018-01-31,8350010.0
2018-02-28,8301894.0
2018-03-31,8331075.0
2018-04-30,8477425.0
2018-05-31,8498112.0
2018-06-30,8532313.0
2018-07-31,8535794.0
2018-08-31,8509969.0
2018-09-30,8528795.0
2018-10-31,8518988.0
2018-11-30,8550615.0
2018-12-31,8578016.0
2019-01-31,8588633.0
2019-02-28,8543042.0
2019-03-31,8570989.0
2019-04-30,8683531.0
2019-05-31,8709228.0
2019-06-30,8718373.0
2019-07-31,8702009.0
2019-08-31,8690730.0
2019-09-30,8721126.0
2019-10-31,8722085.0
2019-11-30,8784421.0
2019-12-31,8797475.0
2020-01-31,8797714.0
2020-02-29,8775893.0
2020-03-31,8833483.0
2020-04-30,9008625.0
2020-05-31,9190297.0
2020-06-30,9358979.0
2020-07-31,9385362.0
2020-08-31,9426265.0
2020-09-30,9481429.0
2020-10-31,9482077.0
2020-11-30,9553308.0
2020-12-31,9594403.0
2021-01-31,9631806.0
2021-02-28,9624300.0
2021-03-31,9686997.0
2021-04-30,9849746.0
2021-05-31,9920393.0
2021-06-30,9928580.0
2021-07-31,9897304.0
2021-08-31,9885753.0
2021-09-30,9890809.0
2021-10-31,9898683.0
2021-11-30,9935131.0
2021-12-31,9940205.0
2022-01-31,9955548.0
2022-02-28,9934040.0
2022-03-31,9981793.0
2022-04-30,10146591.0
2022-05-31,10167889.0
2022-06-30,10189268.0
2022-07-31,10181229.0
2022-08-31,10163569.0
2022-09-30,10154468.0
2022-10-31,10136541.0
2022-11-30,10184254.0
2022-12-31,10167310.0
2023-01-31,10170337.0
2023-02-28,10133624.0
2023-03-31,10191325.0
2023-04-30,10370172.0
2023-05-31,10399407.0
2023-06-30,10416904.0
2023-07-31,10387129.0
2023-08-31,10372733.0
2023-09-30,10365840.0
2023-10-31,10329836.0
2023-11-30,10371701.0
2023-12-31,10363081.0
2024-01-31,10370586.0
2024-02-29,10330742.0
2024-03-31,10398926.0
2024-04-30,10538508.0
2024-05-31,10529350.0
2024-06-30,10525378.0
2024-07-31,10506738.0
2024-08-31,10492572.0
2024-09-30,10478343.0
2024-10-31,10443045.0
2024-11-30,10496109.0
2024-12-31,10507504.0
2025-01-31,10524763.0
2025-02-28,10472965.0
2025-03-31,10491239.0
2025-04-30,10609369.0
2025-05-31,10605479.0
2025-06-30,10607345.0
2025-07-31,10579400.0
2025-08-31,10555191.0
2025-09-30,10549866.0
2025-10-31,10530240.0
2025-11-30,10586993.0
2025-12-31,10599900.0
2026-01-31,10611629.0
2026-02-28,10589309.0
2026-03-31,10652528.0
2026-04-30,10807344.0
2026-05-31,10825807.0
2026-06-30,10792148.0
2026-07-31,10744435.0
2026-08-31,10724953.0
