date,ac_loan_support_program
2024-10-10,783814.0
2024-10-20,783814.0
2024-10-31,783814.0
2024-11-10,783814.0
2024-11-20,783814.0
2024-11-30,783814.0
2024-12-10,783814.0
2024-12-20,771475.0
2024-12-31,771475.0
2025-01-10,771475.0
2025-01-20,771475.0
2025-01-31,771475.0
2025-02-10,771475.0
2025-02-20,771475.0
2025-02-28,771475.0
2025-03-10,771475.0
2025-03-20,730190.0
2025-03-31,730190.0
2025-04-10,730190.0
2025-04-20,730190.0
2025-04-30,730190.0
2025-05-10,730190.0
2025-05-20,730190.0
2025-05-31,730190.0
2025-06-10,730190.0
2025-06-20,710030.0
2025-06-30,710030.0
2025-07-10,710030.0
2025-07-20,710030.0
2025-07-31,710030.0
2025-08-10,710030.0
2025-08-20,710030.0
2025-08-31,710030.0
2025-09-10,710030.0
2025-09-20,575775.0
2025-09-30,575775.0
2025-10-10,575775.0
2025-10-20,575775.0
2025-10-31,575775.0
2025-11-10,575775.0
2025-11-20,575775.0
2025-11-30,575775.0
2025-12-10,575775.0
2025-12-20,535328.0
2025-12-31,535328.0
2026-01-10,535328.0
2026-01-20,535328.0
2026-01-31,535328.0
2026-02-10,535328.0
2026-02-20,535328.0
2026-02-28,535328.0
2026-03-10,535320.0
2026-03-20,485331.0
2026-03-31,485331.0
2026-04-10,485331.0
2026-04-20,485331.0
2026-04-30,485331.0
2026-05-10,485331.0
2026-05-20,485331.0
2026-05-31,485331.0
2026-06-10,485331.0
2026-06-20,391059.0
2026-06-30,391059.0
2026-07-10,391059.0
2026-07-20,391059.0
2026-07-31,391059.0
2026-08-10,391059.0
2026-08-20,391059.0
2026-08-31,391059.0
