date,net_issuance_private_daily
2019-09-30,100.0
2019-10-01,-19994.0
2019-10-02,-20997.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-07,599.9
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.1
2019-10-11,-7951.0
2019-10-14,0.0
2019-10-15,21994.7
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,-18992.0
2019-10-21,1999.9
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,-8993.0
2019-10-28,499.9
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,-22984.0
2019-11-04,0.0
2019-11-05,-300.2
2019-11-06,0.0
2019-11-07,-20994.0
2019-11-08,0.0
2019-11-11,-4003.3
2019-11-12,0.0
2019-11-13,-6995.0
2019-11-14,0.0
2019-11-15,1794.0
2019-11-18,-200.4
2019-11-19,0.0
2019-11-20,15017.0
2019-11-21,-10328.0
2019-11-22,0.0
2019-11-25,-500.1
2019-11-26,0.0
2019-11-27,-4550.0
2019-11-28,0.0
2019-11-29,0.0
2019-12-02,-19994.9
2019-12-03,0.0
2019-12-04,-20994.0
2019-12-05,0.0
2019-12-06,-8025.0
2019-12-09,-200.6
2019-12-10,0.1
2019-12-11,-21834.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,21591.6
2019-12-17,0.0
2019-12-18,-10275.0
2019-12-19,0.0
2019-12-20,161333.1
2019-12-23,-700.3
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-30,0.0
2019-12-31,0.0
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,-22572.0
2020-01-07,0.0
2020-01-08,-22411.0
2020-01-09,0.0
2020-01-10,-6989.9
2020-01-13,0.0
2020-01-14,-699.7
2020-01-15,25215.0
2020-01-16,-20883.0
2020-01-17,0.0
2020-01-20,6955.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-27,-699.6
2020-01-28,0.0
2020-01-29,-4042.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,-23685.6
2020-02-04,0.0
2020-02-05,-22703.0
2020-02-06,0.0
2020-02-07,-7016.0
2020-02-10,-4399.4
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,-4153.0
2020-02-14,0.0
2020-02-17,22217.4
2020-02-18,0.0
2020-02-19,-20877.0
2020-02-20,-0.3
2020-02-21,-9698.0
2020-02-24,0.0
2020-02-25,-1199.6
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-03-02,-26271.9
2020-03-03,0.0
2020-03-04,-23084.0
2020-03-05,0.0
2020-03-06,-7205.0
2020-03-09,-4600.1
2020-03-10,-2999.7
2020-03-11,-18999.0
2020-03-12,0.0
2020-03-13,-9635.0
2020-03-16,19667.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,182528.0
2020-03-23,-4200.5
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,-4151.0
2020-03-30,-4000.1
2020-03-31,0.0
2020-04-01,-21166.0
2020-04-02,0.0
2020-04-03,-23048.0
2020-04-06,-6999.9
2020-04-07,0.0
2020-04-08,-6997.0
2020-04-09,0.0
2020-04-10,-26886.3
2020-04-13,-7000.0
2020-04-14,0.0
2020-04-15,20999.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-20,-7000.7
2020-04-21,0.0
2020-04-22,-8994.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-27,-14000.4
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,-21628.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,-28000.3
2020-05-08,0.0
2020-05-11,-32000.1
2020-05-12,0.0
2020-05-13,-23081.0
2020-05-14,0.0
2020-05-15,15796.0
2020-05-18,-27999.9
2020-05-19,-19863.0
2020-05-20,8996.9
2020-05-21,-9573.0
2020-05-22,0.0
2020-05-25,-37000.2
2020-05-26,0.0
2020-05-27,-5099.0
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,-58132.7
2020-06-02,0.0
2020-06-03,-20989.0
2020-06-04,0.0
2020-06-05,-6993.0
2020-06-08,-43999.5
2020-06-09,0.0
2020-06-10,-5000.2
2020-06-11,0.0
2020-06-12,0.0
2020-06-15,-43999.4
2020-06-16,-27999.9
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,-18993.0
2020-06-22,112611.4
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,-9777.0
2020-06-29,-33999.7
2020-06-30,0.0
2020-07-01,-11073.0
2020-07-02,0.0
2020-07-03,-28436.0
2020-07-06,-30999.8
2020-07-07,0.0
2020-07-08,-9667.0
2020-07-09,0.0
2020-07-10,-34183.9
2020-07-13,-25999.5
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,-27017.1
2020-07-21,0.0
2020-07-22,-13134.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,-49998.9
2020-07-28,0.0
2020-07-29,-5053.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-03,-12484.6
2020-08-04,0.0
2020-08-05,-28080.0
2020-08-06,0.0
2020-08-07,-1999.0
2020-08-10,0.0
2020-08-11,-10100.5
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,-3099.8
2020-08-18,0.0
2020-08-19,-9220.0
2020-08-20,-15999.8
2020-08-21,-24982.0
2020-08-24,5900.1
2020-08-25,-33999.7
2020-08-26,-13162.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,5900.2
2020-09-01,-7920.0
2020-09-02,-25973.0
2020-09-03,0.0
2020-09-04,-9852.0
2020-09-07,15899.6
2020-09-08,0.0
2020-09-09,-24992.0
2020-09-10,-10000.2
2020-09-11,-12431.0
2020-09-14,15899.8
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,171256.0
2020-09-22,0.0
2020-09-23,-10099.9
2020-09-24,0.0
2020-09-25,-42440.5
2020-09-28,5899.8
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,-10239.0
2020-10-02,-28131.0
2020-10-05,5900.0
2020-10-06,0.0
2020-10-07,-9006.0
2020-10-08,0.0
2020-10-09,-27486.0
2020-10-12,-8100.4
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,900.1
2020-10-20,-15999.9
2020-10-21,-13041.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,-37099.5
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,-6736.6
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,-28524.0
2020-11-06,0.0
2020-11-09,-1995.9
2020-11-10,-12999.7
2020-11-11,-9169.0
2020-11-12,0.0
2020-11-13,-26935.0
2020-11-16,-0.4
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,-12803.0
2020-11-20,-1004.9
2020-11-23,0.0
2020-11-24,0.1
2020-11-25,-12999.6
2020-11-26,-5306.0
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,-6008.0
2020-12-02,-28112.0
2020-12-03,0.0
2020-12-04,-9707.0
2020-12-07,0.1
2020-12-08,0.0
2020-12-09,-25392.0
2020-12-10,-10000.1
2020-12-11,-11996.0
2020-12-14,2500.1
2020-12-15,0.0
2020-12-16,-9999.8
2020-12-17,0.0
2020-12-18,0.0
2020-12-21,141753.1
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,22990.0
2021-01-04,-30410.0
2021-01-05,0.0
2021-01-06,2500.4
2021-01-07,-25976.0
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,-15231.7
2021-01-13,0.0
2021-01-14,-24992.0
2021-01-15,0.0
2021-01-18,8500.3
2021-01-19,0.0
2021-01-20,-12394.1
2021-01-21,0.0
2021-01-22,0.0
2021-01-25,1499.7
2021-01-26,0.0
2021-01-27,-5464.0
2021-01-28,0.0
2021-01-29,0.0
2021-02-01,-72.8
2021-02-02,0.0
2021-02-03,-28401.0
2021-02-04,0.0
2021-02-05,-9720.0
2021-02-08,8499.7
2021-02-09,-1998.0
2021-02-10,-999.9
2021-02-11,0.0
2021-02-12,0.0
2021-02-15,8500.6
2021-02-16,0.0
2021-02-17,-24995.0
2021-02-18,0.0
2021-02-19,-12734.0
2021-02-22,-7499.1
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.5
2021-02-26,0.0
2021-03-01,-1902.9
2021-03-02,0.0
2021-03-03,-28437.0
2021-03-04,0.0
2021-03-05,-8987.0
2021-03-08,8500.2
2021-03-09,0.0
2021-03-10,-22995.6
2021-03-11,0.0
2021-03-12,-13002.0
2021-03-15,8500.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-22,173840.9
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,2999.9
2021-03-26,-5484.0
2021-03-29,6000.1
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,-7837.0
2021-04-02,-28456.0
2021-04-05,6000.0
2021-04-06,0.0
2021-04-07,-9621.0
