date,3Y
2023-01-04,0.057
2023-01-05,0.043
2023-01-06,0.036
2023-01-10,0.047
2023-01-11,0.047
2023-01-12,0.066
2023-01-13,0.069
2023-01-16,0.063
2023-01-17,0.077
2023-01-18,0.029
2023-01-19,0.021
2023-01-20,0.014
2023-01-23,-0.001
2023-01-24,0.004
2023-01-25,0.004
2023-01-26,0.006
2023-01-27,0.014
2023-01-30,0.011
2023-01-31,0.021
2023-02-01,0.016
2023-02-02,0.01
2023-02-03,-0.01
2023-02-06,-0.003
2023-02-07,-0.003
2023-02-08,0.007
2023-02-09,0.006
2023-02-10,-0.001
2023-02-13,-0.011
2023-02-14,-0.01
2023-02-15,-0.004
2023-02-16,0.0
2023-02-17,-0.003
2023-02-20,0.0
2023-02-21,0.017
2023-02-22,0.023
2023-02-24,0.015
2023-02-27,0.018
2023-02-28,0.007
2023-03-01,-0.003
2023-03-02,-0.008
2023-03-03,-0.012
2023-03-06,-0.008
2023-03-07,-0.017
2023-03-08,-0.017
2023-03-09,0.015
2023-03-10,0.003
2023-03-13,0.0
2023-03-14,-0.029
2023-03-15,-0.035
2023-03-16,-0.055
2023-03-17,-0.065
2023-03-20,-0.072
2023-03-22,-0.048
2023-03-23,-0.058
2023-03-24,-0.062
2023-03-27,-0.062
2023-03-28,-0.058
2023-03-29,-0.062
2023-03-30,-0.052
2023-03-31,-0.052
2023-04-03,-0.031
2023-04-04,-0.017
2023-04-05,-0.016
2023-04-06,-0.03
2023-04-07,-0.039
2023-04-10,-0.035
2023-04-11,-0.034
2023-04-12,-0.031
2023-04-13,-0.028
2023-04-14,-0.028
2023-04-17,-0.018
2023-04-18,-0.018
2023-04-19,-0.017
2023-04-20,-0.017
2023-04-21,-0.018
2023-04-24,-0.018
2023-04-25,-0.018
2023-04-26,-0.028
2023-04-27,-0.027
2023-04-28,-0.04
2023-05-01,-0.033
2023-05-02,-0.029
2023-05-08,-0.032
2023-05-09,-0.029
2023-05-10,-0.039
2023-05-11,-0.044
2023-05-12,-0.049
2023-05-15,-0.039
2023-05-16,-0.042
2023-05-17,-0.053
2023-05-18,-0.048
2023-05-19,-0.041
2023-05-22,-0.046
2023-05-23,-0.041
2023-05-24,-0.041
2023-05-25,-0.041
2023-05-26,-0.046
2023-05-29,-0.045
2023-05-30,-0.046
2023-05-31,-0.049
2023-06-01,-0.059
2023-06-02,-0.069
2023-06-05,-0.059
2023-06-06,-0.059
2023-06-07,-0.056
2023-06-08,-0.049
2023-06-09,-0.049
2023-06-12,-0.055
2023-06-13,-0.059
2023-06-14,-0.055
2023-06-15,-0.049
2023-06-16,-0.055
2023-06-19,-0.055
2023-06-20,-0.055
2023-06-21,-0.055
2023-06-22,-0.058
2023-06-23,-0.065
2023-06-26,-0.068
2023-06-27,-0.062
2023-06-28,-0.058
2023-06-29,-0.062
2023-06-30,-0.068
2023-07-03,-0.068
2023-07-04,-0.068
2023-07-05,-0.068
2023-07-06,-0.058
2023-07-07,-0.031
2023-07-10,-0.017
2023-07-11,-0.03
2023-07-12,-0.021
2023-07-13,-0.027
2023-07-14,-0.03
2023-07-18,-0.031
2023-07-19,-0.041
2023-07-20,-0.042
2023-07-21,-0.03
2023-07-24,-0.04
2023-07-25,-0.04
2023-07-26,-0.04
2023-07-27,-0.04
2023-07-28,-0.01
2023-07-31,0.016
2023-08-01,0.016
2023-08-02,0.025
2023-08-03,0.04
2023-08-04,0.041
2023-08-07,0.036
2023-08-08,0.036
2023-08-09,0.026
2023-08-10,0.036
2023-08-14,0.042
2023-08-15,0.042
2023-08-16,0.046
2023-08-17,0.06
2023-08-18,0.055
2023-08-21,0.071
2023-08-22,0.082
2023-08-23,0.082
2023-08-24,0.072
2023-08-25,0.072
2023-08-28,0.073
2023-08-29,0.068
2023-08-30,0.074
2023-08-31,0.068
2023-09-01,0.058
2023-09-04,0.059
2023-09-05,0.059
2023-09-06,0.059
2023-09-07,0.056
2023-09-08,0.046
2023-09-11,0.1
2023-09-12,0.09
2023-09-13,0.09
2023-09-14,0.09
2023-09-15,0.091
2023-09-19,0.092
2023-09-20,0.085
2023-09-21,0.099
2023-09-22,0.096
2023-09-25,0.093
2023-09-26,0.093
2023-09-27,0.09
2023-09-28,0.104
2023-09-29,0.108
2023-10-02,0.119
2023-10-03,0.116
2023-10-04,0.124
2023-10-05,0.12
2023-10-06,0.121
2023-10-10,0.112
2023-10-11,0.111
2023-10-12,0.101
2023-10-13,0.101
2023-10-16,0.096
2023-10-17,0.11
2023-10-18,0.127
2023-10-19,0.139
2023-10-20,0.133
2023-10-23,0.144
2023-10-24,0.134
2023-10-25,0.135
2023-10-26,0.155
2023-10-27,0.156
2023-10-30,0.177
2023-10-31,0.22
