date,MAM1NAM3DMMO
2016-07-31,5733731.0
2016-08-31,5727595.0
2016-09-30,5739496.0
2016-10-31,5791962.0
2016-11-30,5840012.0
2016-12-31,5930373.0
2017-01-31,5962627.0
2017-02-28,5957599.0
2017-03-31,6023575.0
2017-04-30,6151234.0
2017-05-31,6172030.0
2017-06-30,6179019.0
2017-07-31,6191640.0
2017-08-31,6180364.0
2017-09-30,6205541.0
2017-10-31,6251719.0
2017-11-30,6293477.0
2017-12-31,6354649.0
2018-01-31,6379541.0
2018-02-28,6351352.0
2018-03-31,6416960.0
2018-04-30,6554401.0
2018-05-31,6574863.0
2018-06-30,6603076.0
2018-07-31,6606580.0
2018-08-31,6592687.0
2018-09-30,6612282.0
2018-10-31,6638392.0
2018-11-30,6661262.0
2018-12-31,6718102.0
2019-01-31,6729899.0
2019-02-28,6714578.0
2019-03-31,6792783.0
2019-04-30,6948191.0
2019-05-31,6987204.0
2019-06-30,6959998.0
2019-07-31,6949201.0
2019-08-31,6946980.0
2019-09-30,6973172.0
2019-10-31,7003023.0
2019-11-30,7060202.0
2019-12-31,7137228.0
2020-01-31,7160552.0
2020-02-29,7155654.0
2020-03-31,7257735.0
2020-04-30,7495568.0
2020-05-31,7699916.0
2020-06-30,7896682.0
2020-07-31,7942490.0
2020-08-31,8010266.0
2020-09-30,8057082.0
2020-10-31,8070920.0
2020-11-30,8133744.0
2020-12-31,8211735.0
2021-01-31,8275142.0
2021-02-28,8289175.0
2021-03-31,8365587.0
2021-04-30,8558039.0
2021-05-31,8643491.0
2021-06-30,8625466.0
2021-07-31,8631673.0
2021-08-31,8638840.0
2021-09-30,8656580.0
2021-10-31,8697531.0
2021-11-30,8750447.0
2021-12-31,8812947.0
2022-01-31,8855738.0
2022-02-28,8854093.0
2022-03-31,8922119.0
2022-04-30,9101585.0
2022-05-31,9143726.0
2022-06-30,9138082.0
2022-07-31,9143072.0
2022-08-31,9146736.0
2022-09-30,9143844.0
2022-10-31,9152937.0
2022-11-30,9214065.0
2022-12-31,9257314.0
2023-01-31,9279249.0
2023-02-28,9261493.0
2023-03-31,9347161.0
2023-04-30,9539122.0
2023-05-31,9579249.0
2023-06-30,9569546.0
2023-07-31,9557702.0
2023-08-31,9570085.0
2023-09-30,9570398.0
2023-10-31,9571659.0
2023-11-30,9610465.0
2023-12-31,9658591.0
2024-01-31,9693116.0
2024-02-29,9677007.0
2024-03-31,9775163.0
2024-04-30,9937635.0
2024-05-31,9892998.0
2024-06-30,9855726.0
2024-07-31,9836077.0
2024-08-31,9829810.0
2024-09-30,9794673.0
2024-10-31,9760857.0
2024-11-30,9792316.0
2024-12-31,9833216.0
2025-01-31,9838429.0
2025-02-28,9795196.0
2025-03-31,9819185.0
2025-04-30,9898551.0
2025-05-31,9885510.0
2025-06-30,9847282.0
2025-07-31,9781973.0
2025-08-31,9768299.0
2025-09-30,9729637.0
2025-10-31,9706544.0
2025-11-30,9742118.0
2025-12-31,9785440.0
2026-01-31,9802005.0
2026-02-28,9754610.0
2026-03-31,9785324.0
2026-04-30,9926254.0
2026-05-31,9930257.0
2026-06-30,9876665.0
2026-07-31,9815712.0
2026-08-31,9775698.0
