date,gov_bonds_over_1y_payments_py
2024-04-30,6013.38
2024-05-31,22048.97
2024-06-30,76386.08
2024-07-31,6940.88
2024-08-31,16443.95
2024-09-30,61866.47
2024-10-31,10639.83
2024-11-30,10128.62
2024-12-31,62717.76
2025-01-31,21831.31
2025-02-28,11599.58
2025-03-31,68429.54
2025-04-30,14413.91
2025-05-31,16886.08
2025-06-30,71850.07
2025-07-31,16093.61
2025-08-31,15451.5
2025-09-30,65058.78
2025-10-31,15055.37
2025-11-30,18514.45
2025-12-31,57033.06
2026-01-31,27996.08
2026-02-28,22225.38
2026-03-31,71293.48
2026-04-30,14975.21
2026-05-31,15071.22
2026-06-30,55681.01
2026-07-31,11517.27
2026-08-31,24259.98
