date,pension_receipts_py
2024-04-30,40042.09
2024-05-31,38799.3
2024-06-30,40005.3
2024-07-31,36064.01
2024-08-31,51604.87
2024-09-30,48619.08
2024-10-31,42430.94
2024-11-30,35865.02
2024-12-31,41712.85
2025-01-31,35791.11
2025-02-28,65131.6
2025-03-31,37282.44
2025-04-30,41765.32
2025-05-31,40014.53
2025-06-30,40798.39
2025-07-31,37280.02
2025-08-31,54814.34
2025-09-30,48949.36
2025-10-31,41148.27
2025-11-30,36742.07
2025-12-31,43545.05
2026-01-31,36823.8
2026-02-28,65275.74
2026-03-31,40229.6
2026-04-30,42572.15
2026-05-31,40574.7
2026-06-30,42241.15
2026-07-31,38399.42
2026-08-31,55453.17
