date,offer_2y
2022-01-27,30000.0
2022-02-25,30000.0
2022-03-31,28000.0
2022-04-27,28000.0
2022-05-31,28000.0
2022-06-28,28000.0
2022-07-28,28000.0
2022-08-30,28000.0
2022-09-29,28000.0
2022-10-27,28000.0
2022-11-29,28000.0
2022-12-27,29000.0
2023-01-31,29000.0
2023-02-28,29000.0
2023-03-30,29000.0
2023-04-26,29000.0
2023-05-30,29000.0
2023-06-29,29000.0
2023-07-27,29000.0
2023-08-29,29000.0
2023-09-28,29000.0
2023-10-30,29000.0
2023-11-30,29000.0
2023-12-26,29000.0
2024-01-30,29000.0
2024-02-29,29000.0
2024-03-29,26000.0
2024-04-23,26000.0
2024-05-30,26000.0
2024-06-27,26000.0
2024-07-26,26000.0
2024-08-29,26000.0
2024-09-30,26000.0
2024-10-29,26000.0
2024-11-29,26000.0
2024-12-26,26000.0
2025-01-31,26000.0
2025-02-27,26000.0
2025-03-31,26000.0
2025-04-24,26000.0
2025-05-30,26000.0
2025-06-26,26000.0
2025-07-29,26000.0
2025-08-28,26000.0
2025-09-30,27000.0
2025-10-31,27000.0
2025-11-28,27000.0
2025-12-25,28000.0
2026-01-30,28000.0
2026-02-27,28000.0
2026-03-31,28000.0
2026-04-30,28000.0
2026-05-29,28000.0
2026-06-30,28000.0
2026-07-30,28000.0
