date,MACAB1023
2016-07-31,225949.0
2016-08-31,231037.0
2016-09-30,230388.0
2016-10-31,238104.0
2016-11-30,237273.0
2016-12-31,249474.0
2017-01-31,245043.0
2017-02-28,246581.0
2017-03-31,268421.0
2017-04-30,277282.0
2017-05-31,278349.0
2017-06-30,286960.0
2017-07-31,281984.0
2017-08-31,286111.0
2017-09-30,286295.0
2017-10-31,292662.0
2017-11-30,290295.0
2017-12-31,299446.0
2018-01-31,294880.0
2018-02-28,296660.0
2018-03-31,313997.0
2018-04-30,322285.0
2018-05-31,322138.0
2018-06-30,336948.0
2018-07-31,332883.0
2018-08-31,335931.0
2018-09-30,336351.0
2018-10-31,340018.0
2018-11-30,339684.0
2018-12-31,346013.0
2019-01-31,343388.0
2019-02-28,339330.0
2019-03-31,356488.0
2019-04-30,362704.0
2019-05-31,363969.0
2019-06-30,369218.0
2019-07-31,364376.0
2019-08-31,366141.0
2019-09-30,367490.0
2019-10-31,376710.0
2019-11-30,373440.0
2019-12-31,384891.0
2020-01-31,373640.0
2020-02-29,373973.0
2020-03-31,379490.0
2020-04-30,394205.0
2020-05-31,415546.0
2020-06-30,456229.0
2020-07-31,481285.0
2020-08-31,523992.0
2020-09-30,557155.0
2020-10-31,595841.0
2020-11-30,603044.0
2020-12-31,628821.0
2021-01-31,637624.0
2021-02-28,642196.0
2021-03-31,706367.0
2021-04-30,773759.0
2021-05-31,787753.0
2021-06-30,817479.0
2021-07-31,823769.0
2021-08-31,844320.0
2021-09-30,902052.0
2021-10-31,924760.0
2021-11-30,925498.0
2021-12-31,944278.0
2022-01-31,933173.0
2022-02-28,918329.0
2022-03-31,954302.0
2022-04-30,951166.0
2022-05-31,933226.0
2022-06-30,896066.0
2022-07-31,832620.0
2022-08-31,798454.0
2022-09-30,672571.0
2022-10-31,606921.0
2022-11-30,602157.0
2022-12-31,633075.0
2023-01-31,640362.0
2023-02-28,649260.0
2023-03-31,696057.0
2023-04-30,714555.0
2023-05-31,708557.0
2023-06-30,724418.0
2023-07-31,714660.0
2023-08-31,716528.0
2023-09-30,723707.0
2023-10-31,723512.0
2023-11-30,717643.0
2023-12-31,730842.0
2024-01-31,723638.0
2024-02-29,720588.0
2024-03-31,653721.0
2024-04-30,665961.0
2024-05-31,660393.0
2024-06-30,679266.0
2024-07-31,651671.0
2024-08-31,636694.0
2024-09-30,605727.0
2024-10-31,607612.0
2024-11-30,585624.0
2024-12-31,566709.0
2025-01-31,527137.0
2025-02-28,521634.0
2025-03-31,545129.0
2025-04-30,590043.0
2025-05-31,584913.0
2025-06-30,596244.0
2025-07-31,565440.0
2025-08-31,561641.0
2025-09-30,526424.0
2025-10-31,510510.0
2025-11-30,496368.0
2025-12-31,492893.0
2026-01-31,473307.0
2026-02-28,474181.0
2026-03-31,474571.0
2026-04-30,514591.0
2026-05-31,503833.0
2026-06-30,490550.0
2026-07-31,460470.0
