date,filp_payments_py
2024-04-30,8624.51
2024-05-31,23883.38
2024-06-30,4876.18
2024-07-31,9337.8
2024-08-31,11775.39
2024-09-30,14033.25
2024-10-31,9180.26
2024-11-30,16114.41
2024-12-31,9214.1
2025-01-31,12208.01
2025-02-28,12760.1
2025-03-31,47377.54
2025-04-30,18275.37
2025-05-31,16252.28
2025-06-30,10030.53
2025-07-31,6837.58
2025-08-31,10088.89
2025-09-30,14617.15
2025-10-31,6979.69
2025-11-30,2566.82
2025-12-31,5157.14
2026-01-31,5689.31
2026-02-28,14169.47
2026-03-31,41951.23
2026-04-30,17155.33
2026-05-31,12125.23
2026-06-30,9840.61
2026-07-31,4809.86
2026-08-31,9665.99
