date,MASDM253
2016-07-31,-100788.0
2016-08-31,-108298.0
2016-09-30,17855.0
2016-10-31,-104160.0
2016-11-30,-94942.0
2016-12-31,41280.0
2017-01-31,-102555.0
2017-02-28,-106423.0
2017-03-31,25827.0
2017-04-30,-98093.0
2017-05-31,-99629.0
2017-06-30,10392.0
2017-07-31,-101359.0
2017-08-31,-96710.0
2017-09-30,7753.0
2017-10-31,-95415.0
2017-11-30,-83096.0
2017-12-31,-11443.0
2018-01-31,-100591.0
2018-02-28,-103172.0
2018-03-31,6040.0
2018-04-30,-95666.0
2018-05-31,-97002.0
2018-06-30,-13342.0
2018-07-31,-86532.0
2018-08-31,-91144.0
2018-09-30,-16042.0
2018-10-31,-84266.0
2018-11-30,-97554.0
2018-12-31,-26100.0
2019-01-31,-92903.0
2019-02-28,-97724.0
2019-03-31,4698.0
2019-04-30,-93095.0
2019-05-31,-85959.0
2019-06-30,-8811.0
2019-07-31,-87803.0
2019-08-31,-96723.0
2019-09-30,12803.0
2019-10-31,-88324.0
2019-11-30,-86959.0
2019-12-31,-28660.0
2020-01-31,-82252.0
2020-02-29,-87512.0
2020-03-31,-93.0
2020-04-30,-86335.0
2020-05-31,-80471.0
2020-06-30,-8652.0
2020-07-31,-106234.0
2020-08-31,-113295.0
2020-09-30,-25878.0
2020-10-31,-118498.0
2020-11-30,-115588.0
2020-12-31,-32707.0
2021-01-31,-102338.0
2021-02-28,-117627.0
2021-03-31,-37290.0
2021-04-30,-115325.0
2021-05-31,-111684.0
2021-06-30,-50030.0
2021-07-31,-105472.0
2021-08-31,-109832.0
2021-09-30,-33494.0
2021-10-31,-105783.0
2021-11-30,-105984.0
2021-12-31,-35418.0
2022-01-31,-114796.0
2022-02-28,-108363.0
2022-03-31,-45549.0
2022-04-30,-110635.0
2022-05-31,-110088.0
2022-06-30,-44057.0
2022-07-31,-106683.0
2022-08-31,-99404.0
2022-09-30,-35621.0
2022-10-31,-105484.0
2022-11-30,-111422.0
2022-12-31,-20346.0
2023-01-31,-119777.0
2023-02-28,-116551.0
2023-03-31,-41992.0
2023-04-30,-112385.0
2023-05-31,-108116.0
2023-06-30,-44333.0
2023-07-31,-121445.0
2023-08-31,-100598.0
2023-09-30,-63251.0
2023-10-31,-110757.0
2023-11-30,-119028.0
2023-12-31,-58365.0
2024-01-31,-98762.0
2024-02-29,-124513.0
2024-03-31,-55722.0
2024-04-30,-95110.0
2024-05-31,-108910.0
2024-06-30,-40286.0
2024-07-31,-112292.0
2024-08-31,-103132.0
2024-09-30,-58224.0
2024-10-31,-100174.0
2024-11-30,-101858.0
2024-12-31,-54024.0
2025-01-31,-96020.0
2025-02-28,-88112.0
2025-03-31,-45145.0
2025-04-30,-103179.0
2025-05-31,-107653.0
2025-06-30,-56874.0
2025-07-31,-106105.0
2025-08-31,-84035.0
2025-09-30,-64327.0
2025-10-31,-98778.0
2025-11-30,-104739.0
2025-12-31,-49289.0
2026-01-31,-102952.0
2026-02-28,-101381.0
2026-03-31,-55978.0
2026-04-30,-99526.0
2026-05-31,-109519.0
2026-06-30,-60607.0
2026-07-31,-100439.0
2026-08-31,-105653.0
