date,excess
2025-10-01,4542500.0
2025-10-02,4495600.0
2025-10-03,4467700.0
2025-10-06,4474200.0
2025-10-07,4474600.0
2025-10-08,4479000.0
2025-10-09,4485500.0
2025-10-10,4483800.0
2025-10-14,4459000.0
2025-10-15,4515200.0
2025-10-16,1137600.0
2025-10-17,4292000.0
2025-10-20,4501100.0
2025-10-21,4500900.0
2025-10-22,4516700.0
2025-10-23,4535300.0
2025-10-24,4534900.0
2025-10-27,4533800.0
2025-10-28,4540600.0
2025-10-29,4557400.0
2025-10-30,4555200.0
2025-10-31,4532200.0
2025-11-04,4521200.0
2025-11-05,4524500.0
2025-11-06,4503100.0
2025-11-07,4508100.0
2025-11-10,4506400.0
2025-11-11,4498800.0
2025-11-12,4497000.0
2025-11-13,4505100.0
2025-11-14,4489200.0
2025-11-17,3953900.0
2025-11-18,4407300.0
2025-11-19,4455300.0
2025-11-20,4470100.0
2025-11-21,4498500.0
2025-11-25,4505300.0
2025-11-26,4503400.0
2025-11-27,4502400.0
2025-11-28,4484100.0
2025-12-01,4447800.0
2025-12-02,4403500.0
2025-12-03,4325200.0
2025-12-04,4330100.0
2025-12-05,4324600.0
2025-12-08,4325900.0
2025-12-09,4327800.0
2025-12-10,4318900.0
2025-12-11,4300300.0
2025-12-12,4280500.0
2025-12-15,4303800.0
2025-12-16,1074500.0
2025-12-17,3574200.0
2025-12-18,4193000.0
2025-12-19,4266200.0
2025-12-22,4316800.0
2025-12-23,4319000.0
2025-12-24,4304300.0
2025-12-25,4330600.0
2025-12-26,4318400.0
2025-12-29,4306400.0
2025-12-30,4288800.0
2026-01-05,4315300.0
2026-01-06,4323400.0
2026-01-07,4268000.0
2026-01-08,4280200.0
2026-01-09,4279500.0
2026-01-13,4270200.0
2026-01-14,4248100.0
2026-01-15,4235700.0
2026-01-16,2912500.0
2026-01-19,4217800.0
2026-01-20,4239100.0
2026-01-21,4239000.0
2026-01-22,4255600.0
2026-01-23,4263700.0
2026-01-26,4273900.0
2026-01-27,4266000.0
2026-01-28,4264700.0
2026-01-29,4269900.0
2026-01-30,4297300.0
2026-02-02,4300900.0
2026-02-03,4273700.0
2026-02-04,4190300.0
2026-02-05,4195100.0
2026-02-06,4191400.0
2026-02-09,4194600.0
2026-02-10,4193300.0
2026-02-12,4185200.0
2026-02-13,4279500.0
2026-02-16,1187200.0
2026-02-17,3754600.0
2026-02-18,4157000.0
2026-02-19,4215900.0
2026-02-20,4243100.0
2026-02-24,4250000.0
2026-02-25,4259500.0
2026-02-26,4246800.0
2026-02-27,4246300.0
2026-03-02,4201900.0
2026-03-03,4189300.0
2026-03-04,4121400.0
2026-03-05,4139800.0
2026-03-06,4134200.0
2026-03-09,4137100.0
2026-03-10,4126100.0
2026-03-11,4127100.0
2026-03-12,4095000.0
2026-03-13,4097800.0
2026-03-16,1024900.0
2026-03-17,3246300.0
2026-03-18,3911600.0
2026-03-19,4055600.0
2026-03-23,4140600.0
2026-03-24,4145000.0
2026-03-25,4179400.0
2026-03-26,4200800.0
2026-03-27,4162700.0
2026-03-30,4222700.0
2026-03-31,4208900.0
2026-04-01,4181300.0
2026-04-02,4210900.0
2026-04-03,4201800.0
2026-04-06,4187300.0
2026-04-07,4188000.0
2026-04-08,4187500.0
2026-04-09,4200900.0
2026-04-10,4196300.0
2026-04-13,4179500.0
2026-04-14,4187700.0
2026-04-15,4253800.0
2026-04-16,1108300.0
2026-04-17,3996000.0
2026-04-20,4246600.0
2026-04-21,4268500.0
2026-04-22,4280600.0
2026-04-23,4299800.0
2026-04-24,4340000.0
2026-04-27,4319000.0
2026-04-28,4340000.0
2026-04-30,4345200.0
2026-05-01,4329700.0
2026-05-07,4245100.0
2026-05-08,4202300.0
2026-05-11,4206500.0
2026-05-12,4203300.0
2026-05-13,4190000.0
2026-05-14,4208300.0
2026-05-15,4204400.0
2026-05-18,4090600.0
2026-05-19,4142100.0
2026-05-20,4174000.0
2026-05-21,4174600.0
2026-05-22,4163900.0
2026-05-25,4196200.0
2026-05-26,4209800.0
2026-05-27,4215900.0
2026-05-28,4219800.0
2026-05-29,4215300.0
2026-06-01,4155100.0
2026-06-02,4100900.0
2026-06-03,4070200.0
2026-06-04,4072900.0
2026-06-05,4073900.0
2026-06-08,4076000.0
2026-06-09,4066100.0
2026-06-10,4061200.0
2026-06-11,4044700.0
2026-06-12,4065600.0
2026-06-15,4141500.0
2026-06-16,1058100.0
2026-06-17,3359000.0
2026-06-18,3994000.0
2026-06-19,4052400.0
2026-06-22,4098300.0
2026-06-23,4098400.0
2026-06-24,4090500.0
2026-06-25,4096900.0
2026-06-26,4095300.0
2026-06-29,4093500.0
2026-06-30,4071300.0
2026-07-01,4055000.0
2026-07-02,4021000.0
2026-07-03,4004000.0
2026-07-06,4009900.0
2026-07-07,4022700.0
2026-07-08,4006600.0
2026-07-09,4029100.0
2026-07-10,4015100.0
2026-07-13,3998500.0
2026-07-14,3989100.0
2026-07-15,3981800.0
2026-07-16,1041600.0
2026-07-17,3684300.0
2026-07-21,4015000.0
2026-07-22,4016000.0
2026-07-23,4037600.0
2026-07-24,4057900.0
2026-07-27,4065500.0
2026-07-28,4054500.0
2026-07-29,4052900.0
2026-07-30,4047100.0
2026-07-31,4028000.0
2026-08-03,3953100.0
2026-08-04,3857700.0
2026-08-05,3819500.0
2026-08-06,3856700.0
2026-08-07,3855200.0
2026-08-10,3860200.0
2026-08-12,3849200.0
2026-08-13,3849100.0
2026-08-14,3928000.0
2026-08-17,2967700.0
2026-08-18,3752400.0
2026-08-19,3848800.0
2026-08-20,3894000.0
2026-08-21,3909600.0
2026-08-24,3926300.0
2026-08-25,3920800.0
2026-08-26,3918600.0
2026-08-27,3918200.0
2026-08-28,3920000.0
2026-08-31,3905300.0
2026-09-01,3861000.0
2026-09-02,3834300.0
2026-09-03,3838200.0
2026-09-04,3845200.0
2026-09-07,3844200.0
