date,MACAB1053
2016-07-31,339264.0
2016-08-31,336459.0
2016-09-30,336490.0
2016-10-31,340651.0
2016-11-30,345463.0
2016-12-31,387654.0
2017-01-31,387028.0
2017-02-28,384382.0
2017-03-31,408397.0
2017-04-30,404409.0
2017-05-31,394211.0
2017-06-30,405000.0
2017-07-31,410189.0
2017-08-31,425061.0
2017-09-30,438183.0
2017-10-31,447325.0
2017-11-30,435513.0
2017-12-31,437323.0
2018-01-31,425805.0
2018-02-28,439774.0
2018-03-31,469804.0
2018-04-30,431801.0
2018-05-31,415326.0
2018-06-30,429421.0
2018-07-31,432376.0
2018-08-31,439905.0
2018-09-30,442487.0
2018-10-31,442019.0
2018-11-30,437657.0
2018-12-31,430650.0
2019-01-31,415504.0
2019-02-28,406359.0
2019-03-31,425133.0
2019-04-30,417776.0
2019-05-31,420853.0
2019-06-30,432445.0
2019-07-31,427569.0
2019-08-31,429445.0
2019-09-30,435968.0
2019-10-31,441399.0
2019-11-30,434213.0
2019-12-31,431737.0
2020-01-31,415992.0
2020-02-29,418082.0
2020-03-31,401581.0
2020-04-30,386073.0
2020-05-31,406388.0
2020-06-30,445620.0
2020-07-31,321223.0
2020-08-31,304175.0
2020-09-30,306787.0
2020-10-31,304761.0
2020-11-30,299774.0
2020-12-31,302096.0
2021-01-31,300875.0
2021-02-28,302362.0
2021-03-31,308911.0
2021-04-30,314503.0
2021-05-31,315429.0
2021-06-30,321943.0
2021-07-31,321285.0
2021-08-31,320416.0
2021-09-30,317312.0
2021-10-31,314079.0
2021-11-30,313805.0
2021-12-31,323672.0
2022-01-31,319451.0
2022-02-28,325577.0
2022-03-31,340691.0
2022-04-30,338063.0
2022-05-31,338461.0
2022-06-30,342726.0
2022-07-31,337975.0
2022-08-31,330975.0
2022-09-30,331932.0
2022-10-31,335734.0
2022-11-30,329845.0
2022-12-31,341229.0
2023-01-31,355454.0
2023-02-28,369939.0
2023-03-31,369909.0
2023-04-30,375515.0
2023-05-31,371859.0
2023-06-30,376441.0
2023-07-31,369554.0
2023-08-31,369893.0
2023-09-30,376137.0
2023-10-31,367959.0
2023-11-30,365019.0
2023-12-31,364743.0
2024-01-31,358279.0
2024-02-29,361140.0
2024-03-31,375907.0
2024-04-30,361230.0
2024-05-31,362055.0
2024-06-30,382099.0
2024-07-31,412601.0
2024-08-31,409577.0
2024-09-30,409891.0
2024-10-31,406809.0
2024-11-30,404048.0
2024-12-31,392083.0
2025-01-31,391510.0
2025-02-28,404880.0
2025-03-31,404205.0
2025-04-30,385324.0
2025-05-31,381800.0
2025-06-30,404395.0
2025-07-31,419090.0
2025-08-31,413231.0
2025-09-30,421833.0
2025-10-31,413322.0
2025-11-30,399390.0
2025-12-31,379796.0
2026-01-31,373538.0
2026-02-28,376080.0
2026-03-31,369748.0
2026-04-30,362740.0
2026-05-31,352463.0
2026-06-30,351370.0
2026-07-31,324280.0
