date,STRDCLUCV
2025-05-16,34705.0
2025-05-19,35475.0
2025-05-20,39601.0
2025-05-21,37715.0
2025-05-22,36026.0
2025-05-23,34863.0
2025-05-26,34011.0
2025-05-27,35137.0
2025-05-28,32462.0
2025-05-29,36439.0
2025-05-30,35619.0
2025-06-02,34934.0
2025-06-03,34827.0
2025-06-04,33665.0
2025-06-05,34001.0
2025-06-06,33724.0
2025-06-09,33675.0
2025-06-10,32904.0
2025-06-11,33315.0
2025-06-12,35980.0
2025-06-13,32225.0
2025-06-16,32639.0
2025-06-17,31515.0
2025-06-18,31492.0
2025-06-19,31597.0
2025-06-20,32706.0
2025-06-23,32531.0
2025-06-24,33035.0
2025-06-25,31808.0
2025-06-26,30266.0
2025-06-27,28326.0
2025-06-30,31143.0
2025-07-01,28767.0
2025-07-02,30721.0
2025-07-03,29344.0
2025-07-04,31267.0
2025-07-07,28376.0
2025-07-08,30079.0
2025-07-09,29139.0
2025-07-10,31137.0
2025-07-11,31530.0
2025-07-14,32476.0
2025-07-15,32533.0
2025-07-16,31130.0
2025-07-17,30355.0
2025-07-18,29952.0
2025-07-22,33952.0
2025-07-23,33104.0
2025-07-24,30929.0
2025-07-25,30096.0
2025-07-28,31010.0
2025-07-29,30731.0
2025-07-30,33916.0
2025-07-31,32439.0
2025-08-01,29795.0
2025-08-04,29251.0
2025-08-05,32423.0
2025-08-06,30003.0
2025-08-07,31056.0
2025-08-08,31312.0
2025-08-12,30568.0
2025-08-13,30373.0
2025-08-14,31107.0
2025-08-15,30499.0
2025-08-18,29558.0
2025-08-19,30621.0
2025-08-20,30658.0
2025-08-21,31517.0
2025-08-22,40571.0
2025-08-25,38794.0
2025-08-26,39305.0
2025-08-27,35977.0
2025-08-28,37269.0
2025-08-29,39457.0
2025-09-01,38912.0
2025-09-02,39291.0
2025-09-03,38335.0
2025-09-04,39633.0
2025-09-05,35476.0
2025-09-08,34786.0
2025-09-09,34375.0
2025-09-10,32573.0
2025-09-11,35016.0
2025-09-12,35337.0
2025-09-16,34891.0
2025-09-17,31868.0
2025-09-18,31913.0
2025-09-19,30913.0
2025-09-22,32199.0
2025-09-24,31707.0
2025-09-25,28193.0
2025-09-26,28493.0
2025-09-29,27741.0
2025-09-30,26968.0
2025-10-01,28990.0
2025-10-02,27772.0
2025-10-03,30620.0
2025-10-06,30913.0
2025-10-07,31569.0
2025-10-08,32262.0
2025-10-09,33512.0
2025-10-10,28624.0
2025-10-14,27187.0
2025-10-15,27115.0
2025-10-16,28118.0
2025-10-17,26780.0
2025-10-20,29106.0
2025-10-21,29089.0
2025-10-22,28329.0
2025-10-23,27987.0
2025-10-24,27096.0
2025-10-27,27240.0
2025-10-28,26085.0
2025-10-29,26651.0
2025-10-30,26840.0
2025-10-31,27973.0
2025-11-04,30074.0
2025-11-05,30249.0
2025-11-06,31663.0
2025-11-07,29013.0
2025-11-10,30976.0
2025-11-11,30298.0
2025-11-12,32320.0
