date,MAM1NAM3M3MO
2016-07-31,12623788.0
2016-08-31,12621687.0
2016-09-30,12625523.0
2016-10-31,12649217.0
2016-11-30,12716022.0
2016-12-31,12800804.0
2017-01-31,12833922.0
2017-02-28,12803148.0
2017-03-31,12832462.0
2017-04-30,12938605.0
2017-05-31,12961343.0
2017-06-30,13013826.0
2017-07-31,13047848.0
2017-08-31,13045399.0
2017-09-30,13057024.0
2017-10-31,13083945.0
2017-11-30,13145797.0
2017-12-31,13192095.0
2018-01-31,13206997.0
2018-02-28,13152045.0
2018-03-31,13169126.0
2018-04-30,13292729.0
2018-05-31,13312552.0
2018-06-30,13360470.0
2018-07-31,13379294.0
2018-08-31,13370132.0
2018-09-30,13378670.0
2018-10-31,13388535.0
2018-11-30,13419958.0
2018-12-31,13469683.0
2019-01-31,13477055.0
2019-02-28,13423539.0
2019-03-31,13440891.0
2019-04-30,13567501.0
2019-05-31,13602690.0
2019-06-30,13616152.0
2019-07-31,13631830.0
2019-08-31,13626135.0
2019-09-30,13634939.0
2019-10-31,13643724.0
2019-11-30,13706709.0
2019-12-31,13762321.0
2020-01-31,13775113.0
2020-02-29,13740459.0
2020-03-31,13790749.0
2020-04-30,13978017.0
2020-05-31,14170023.0
2020-06-30,14425302.0
2020-07-31,14524277.0
2020-08-31,14599821.0
2020-09-30,14652371.0
2020-10-31,14671488.0
2020-11-30,14747880.0
2020-12-31,14813455.0
2021-01-31,14860492.0
2021-02-28,14846612.0
2021-03-31,14895043.0
2021-04-30,15082268.0
2021-05-31,15145502.0
2021-06-30,15176271.0
2021-07-31,15195437.0
2021-08-31,15198803.0
2021-09-30,15200540.0
2021-10-31,15218135.0
2021-11-30,15269876.0
2021-12-31,15309517.0
2022-01-31,15344038.0
2022-02-28,15318344.0
2022-03-31,15359322.0
2022-04-30,15551700.0
2022-05-31,15578980.0
2022-06-30,15623264.0
2022-07-31,15648341.0
2022-08-31,15649767.0
2022-09-30,15632476.0
2022-10-31,15619677.0
2022-11-30,15677345.0
2022-12-31,15693481.0
2023-01-31,15696317.0
2023-02-28,15648243.0
2023-03-31,15681922.0
2023-04-30,15873481.0
2023-05-31,15904516.0
2023-06-30,15942425.0
2023-07-31,15949800.0
2023-08-31,15943646.0
2023-09-30,15918249.0
2023-10-31,15905213.0
2023-11-30,15943279.0
2023-12-31,15962439.0
2024-01-31,15981678.0
2024-02-29,15928651.0
2024-03-31,15972247.0
2024-04-30,16125694.0
2024-05-31,16105945.0
2024-06-30,16094805.0
2024-07-31,16101589.0
2024-08-31,16074101.0
2024-09-30,16034743.0
2024-10-31,16013877.0
2024-11-30,16058938.0
2024-12-31,16097395.0
2025-01-31,16107730.0
2025-02-28,16033407.0
2025-03-31,16028951.0
2025-04-30,16140771.0
2025-05-31,16141609.0
2025-06-30,16155376.0
2025-07-31,16190668.0
2025-08-31,16202081.0
2025-09-30,16194256.0
2025-10-31,16184820.0
2025-11-30,16244145.0
2025-12-31,16274455.0
2026-01-31,16272715.0
2026-02-28,16220831.0
2026-03-31,16251618.0
2026-04-30,16406645.0
2026-05-31,16419208.0
2026-06-30,16397801.0
2026-07-31,16412355.0
