date,MASDM254
2016-07-31,-112721.0
2016-08-31,-115188.0
2016-09-30,-109321.0
2016-10-31,-120437.0
2016-11-30,-113877.0
2016-12-31,-108099.0
2017-01-31,-114235.0
2017-02-28,-119630.0
2017-03-31,-115492.0
2017-04-30,-111517.0
2017-05-31,-107635.0
2017-06-30,-104539.0
2017-07-31,-113320.0
2017-08-31,-104710.0
2017-09-30,-105565.0
2017-10-31,-108327.0
2017-11-30,-109912.0
2017-12-31,-106413.0
2018-01-31,-111504.0
2018-02-28,-113282.0
2018-03-31,-110752.0
2018-04-30,-102421.0
2018-05-31,-109569.0
2018-06-30,-98739.0
2018-07-31,-105112.0
2018-08-31,-106010.0
2018-09-30,-103740.0
2018-10-31,-99686.0
2018-11-30,-112821.0
2018-12-31,-105657.0
2019-01-31,-106202.0
2019-02-28,-110819.0
2019-03-31,-106574.0
2019-04-30,-102451.0
2019-05-31,-102634.0
2019-06-30,-97207.0
2019-07-31,-99969.0
2019-08-31,-105511.0
2019-09-30,-103474.0
2019-10-31,-95311.0
2019-11-30,-107143.0
2019-12-31,-99409.0
2020-01-31,-103075.0
2020-02-29,-104232.0
2020-03-31,-101687.0
2020-04-30,-98749.0
2020-05-31,-99114.0
2020-06-30,-88715.0
2020-07-31,-126936.0
2020-08-31,-120652.0
2020-09-30,-121026.0
2020-10-31,-123973.0
2020-11-30,-128337.0
2020-12-31,-119800.0
2021-01-31,-121790.0
2021-02-28,-122999.0
2021-03-31,-125126.0
2021-04-30,-121655.0
2021-05-31,-125646.0
2021-06-30,-117854.0
2021-07-31,-125384.0
2021-08-31,-122832.0
2021-09-30,-123976.0
2021-10-31,-118363.0
2021-11-30,-127520.0
2021-12-31,-118125.0
2022-01-31,-125082.0
2022-02-28,-120879.0
2022-03-31,-125636.0
2022-04-30,-117930.0
2022-05-31,-125827.0
2022-06-30,-122935.0
2022-07-31,-125095.0
2022-08-31,-123545.0
2022-09-30,-124147.0
2022-10-31,-117937.0
2022-11-30,-124500.0
2022-12-31,-115601.0
2023-01-31,-126227.0
2023-02-28,-122125.0
2023-03-31,-127649.0
2023-04-30,-118368.0
2023-05-31,-129985.0
2023-06-30,-120625.0
2023-07-31,-128359.0
2023-08-31,-117024.0
2023-09-30,-125105.0
2023-10-31,-121369.0
2023-11-30,-129129.0
2023-12-31,-121070.0
2024-01-31,-120587.0
2024-02-29,-136108.0
2024-03-31,-124131.0
2024-04-30,-109463.0
2024-05-31,-125635.0
2024-06-30,-112064.0
2024-07-31,-128365.0
2024-08-31,-118570.0
2024-09-30,-123276.0
2024-10-31,-115223.0
2024-11-30,-120365.0
2024-12-31,-111000.0
2025-01-31,-124010.0
2025-02-28,-110335.0
2025-03-31,-116436.0
2025-04-30,-118139.0
2025-05-31,-122550.0
2025-06-30,-112486.0
2025-07-31,-117604.0
2025-08-31,-108230.0
2025-09-30,-114152.0
2025-10-31,-109389.0
2025-11-30,-121690.0
2025-12-31,-107569.0
2026-01-31,-119463.0
2026-02-28,-117590.0
2026-03-31,-128566.0
2026-04-30,-112206.0
2026-05-31,-125259.0
2026-06-30,-108771.0
2026-07-31,-116474.0
2026-08-31,-117046.0
