date,ac_jgb_holdings
2024-10-10,5865595.1
2024-10-20,5874039.0
2024-10-31,5893327.8
2024-11-10,5888780.2
2024-11-20,5908034.8
2024-11-30,5925952.4
2024-12-10,5928818.2
2024-12-20,5806255.9
2024-12-31,5823627.1
2025-01-10,5826982.3
2025-01-20,5835158.3
2025-01-31,5855453.1
2025-02-10,5864393.0
2025-02-20,5879840.6
2025-02-28,5885077.2
2025-03-10,5875144.8
2025-03-20,5892160.5
2025-03-31,5759308.8
2025-04-10,5756912.0
2025-04-20,5766029.2
2025-04-30,5782800.1
2025-05-10,5774461.2
2025-05-20,5790345.2
2025-05-31,5807331.7
2025-06-10,5808955.2
2025-06-20,5661068.7
2025-06-30,5675116.6
2025-07-10,5661657.1
2025-07-20,5672237.8
2025-07-31,5688986.8
2025-08-10,5689316.1
2025-08-20,5697798.3
2025-08-31,5716487.9
2025-09-10,5713075.5
2025-09-20,5721479.5
2025-09-30,5567576.2
2025-10-10,5557497.2
2025-10-20,5566927.3
2025-10-31,5581586.7
2025-11-10,5574597.4
2025-11-20,5581451.8
2025-11-30,5597938.5
2025-12-10,5591601.8
2025-12-20,5607621.7
2025-12-31,5443951.1
2026-01-10,5435190.8
2026-01-20,5441720.3
2026-01-31,5455827.2
2026-02-10,5445964.6
2026-02-20,5460680.3
2026-02-28,5466799.8
2026-03-10,5455825.9
2026-03-20,5470353.4
2026-03-31,5308695.7
2026-04-10,5303543.5
2026-04-20,5311237.9
2026-04-30,5319489.0
2026-05-10,5306465.0
2026-05-20,5318357.8
2026-05-31,5331355.9
2026-06-10,5323254.1
2026-06-20,5338368.2
2026-06-30,5183423.5
2026-07-10,5175111.5
2026-07-20,5182248.4
2026-07-31,5193818.8
2026-08-10,5181300.1
2026-08-20,5195238.6
2026-08-31,5199276.9
