date,cab
2025-10-01,4987900.0
2025-10-02,4948400.0
2025-10-03,4924700.0
2025-10-06,4931600.0
2025-10-07,4931100.0
2025-10-08,4922900.0
2025-10-09,4930900.0
2025-10-10,4909100.0
2025-10-14,4896800.0
2025-10-15,4968000.0
2025-10-16,4960700.0
2025-10-17,4974100.0
2025-10-20,4965900.0
2025-10-21,4962700.0
2025-10-22,4965400.0
2025-10-23,4976700.0
2025-10-24,4983100.0
2025-10-27,4978000.0
2025-10-28,4979200.0
2025-10-29,4987900.0
2025-10-30,4989200.0
2025-10-31,4977100.0
2025-11-04,4948700.0
2025-11-05,4950400.0
2025-11-06,4925400.0
2025-11-07,4935200.0
2025-11-10,4928500.0
2025-11-11,4925700.0
2025-11-12,4925900.0
2025-11-13,4931400.0
2025-11-14,4903600.0
2025-11-17,4901900.0
2025-11-18,4892700.0
2025-11-19,4890100.0
2025-11-20,4887800.0
2025-11-21,4899000.0
2025-11-25,4895000.0
2025-11-26,4883500.0
2025-11-27,4877400.0
2025-11-28,4870500.0
2025-12-01,4826500.0
2025-12-02,4786500.0
2025-12-03,4707500.0
2025-12-04,4710900.0
2025-12-05,4711000.0
2025-12-08,4711300.0
2025-12-09,4710100.0
2025-12-10,4686800.0
2025-12-11,4682800.0
2025-12-12,4669800.0
2025-12-15,4687300.0
2025-12-16,4680300.0
2025-12-17,4666000.0
2025-12-18,4683200.0
2025-12-19,4686200.0
2025-12-22,4729700.0
2025-12-23,4718900.0
2025-12-24,4711100.0
2025-12-25,4736500.0
2025-12-26,4732300.0
2025-12-29,4721500.0
2025-12-30,4709700.0
2026-01-05,4714400.0
2026-01-06,4719400.0
2026-01-07,4661300.0
2026-01-08,4681500.0
2026-01-09,4674000.0
2026-01-13,4656500.0
2026-01-14,4641100.0
2026-01-15,4621400.0
2026-01-16,4635900.0
2026-01-19,4624300.0
2026-01-20,4640700.0
2026-01-21,4625900.0
2026-01-22,4637500.0
2026-01-23,4636700.0
2026-01-26,4641500.0
2026-01-27,4636400.0
2026-01-28,4638800.0
2026-01-29,4638800.0
2026-01-30,4681500.0
2026-02-02,4656000.0
2026-02-03,4637700.0
2026-02-04,4545000.0
2026-02-05,4556500.0
2026-02-06,4543900.0
2026-02-09,4541400.0
2026-02-10,4540800.0
2026-02-12,4539400.0
2026-02-13,4627700.0
2026-02-16,4616200.0
2026-02-17,4622500.0
2026-02-18,4586400.0
2026-02-19,4598600.0
2026-02-20,4602100.0
2026-02-24,4596700.0
2026-02-25,4605900.0
2026-02-26,4601100.0
2026-02-27,4611300.0
2026-03-02,4565500.0
2026-03-03,4543500.0
2026-03-04,4472700.0
2026-03-05,4487000.0
2026-03-06,4491000.0
2026-03-09,4480500.0
2026-03-10,4484600.0
2026-03-11,4487200.0
2026-03-12,4460400.0
2026-03-13,4462300.0
2026-03-16,4404400.0
2026-03-17,4419400.0
2026-03-18,4408500.0
2026-03-19,4431800.0
2026-03-23,4507100.0
2026-03-24,4507400.0
2026-03-25,4537300.0
2026-03-26,4554100.0
2026-03-27,4553400.0
2026-03-30,4585700.0
2026-03-31,4597800.0
2026-04-01,4568700.0
2026-04-02,4585400.0
2026-04-03,4568400.0
2026-04-06,4570300.0
2026-04-07,4574700.0
2026-04-08,4580600.0
2026-04-09,4587200.0
2026-04-10,4561400.0
2026-04-13,4556800.0
2026-04-14,4557000.0
2026-04-15,4628200.0
2026-04-16,4650400.0
2026-04-17,4657600.0
2026-04-20,4647000.0
2026-04-21,4652900.0
2026-04-22,4653000.0
2026-04-23,4663200.0
2026-04-24,4693100.0
2026-04-27,4678100.0
2026-04-28,4690600.0
2026-04-30,4694600.0
2026-05-01,4663700.0
2026-05-07,4585800.0
2026-05-08,4543500.0
2026-05-11,4536300.0
2026-05-12,4540700.0
2026-05-13,4520600.0
2026-05-14,4531500.0
2026-05-15,4529900.0
2026-05-18,4533300.0
2026-05-19,4498900.0
2026-05-20,4503200.0
2026-05-21,4495900.0
2026-05-22,4514200.0
2026-05-25,4519100.0
2026-05-26,4523800.0
2026-05-27,4521700.0
2026-05-28,4522700.0
2026-05-29,4521300.0
2026-06-01,4465200.0
2026-06-02,4404700.0
2026-06-03,4364300.0
2026-06-04,4373600.0
2026-06-05,4374100.0
2026-06-08,4375900.0
2026-06-09,4376200.0
2026-06-10,4364900.0
2026-06-11,4348800.0
2026-06-12,4375000.0
2026-06-15,4453600.0
2026-06-16,4452100.0
2026-06-17,4470200.0
2026-06-18,4403200.0
2026-06-19,4387300.0
2026-06-22,4430200.0
2026-06-23,4427200.0
2026-06-24,4398200.0
2026-06-25,4403900.0
2026-06-26,4400000.0
2026-06-29,4404100.0
2026-06-30,4404100.0
2026-07-01,4383100.0
2026-07-02,4348600.0
2026-07-03,4326900.0
2026-07-06,4344500.0
2026-07-07,4358500.0
2026-07-08,4351500.0
2026-07-09,4365700.0
2026-07-10,4347600.0
2026-07-13,4328100.0
2026-07-14,4316000.0
2026-07-15,4306700.0
2026-07-16,4317600.0
2026-07-17,4316600.0
2026-07-21,4366800.0
2026-07-22,4363700.0
2026-07-23,4378300.0
2026-07-24,4393700.0
2026-07-27,4404400.0
2026-07-28,4401800.0
2026-07-29,4391100.0
2026-07-30,4392200.0
2026-07-31,4380700.0
2026-08-03,4300200.0
2026-08-04,4188500.0
2026-08-05,4155000.0
2026-08-06,4183000.0
2026-08-07,4188500.0
2026-08-10,4191400.0
2026-08-12,4174700.0
2026-08-13,4170800.0
2026-08-14,4256100.0
2026-08-17,4250000.0
2026-08-18,4244400.0
2026-08-19,4221600.0
2026-08-20,4247400.0
2026-08-21,4239100.0
2026-08-24,4251300.0
2026-08-25,4248500.0
2026-08-26,4238900.0
