date,surplus
2025-10-01,-30700.0
2025-10-02,-39000.0
2025-10-03,-25800.0
2025-10-06,6600.0
2025-10-07,1500.0
2025-10-08,-8300.0
2025-10-09,-800.0
2025-10-10,-22400.0
2025-10-14,-12400.0
2025-10-15,71800.0
2025-10-16,-7200.0
2025-10-17,3700.0
2025-10-20,-7600.0
2025-10-21,-3800.0
2025-10-22,2700.0
2025-10-23,4500.0
2025-10-24,7600.0
2025-10-27,-3400.0
2025-10-28,1000.0
2025-10-29,1900.0
2025-10-30,0.0
2025-10-31,-11300.0
2025-11-04,-25900.0
2025-11-05,1400.0
2025-11-06,-26400.0
2025-11-07,2200.0
2025-11-10,-6400.0
2025-11-11,-3500.0
2025-11-12,400.0
2025-11-13,-1300.0
2025-11-14,-28100.0
2025-11-17,-1600.0
2025-11-18,-9500.0
2025-11-19,-2500.0
2025-11-20,-1800.0
2025-11-21,4300.0
2025-11-25,300.0
2025-11-26,-13800.0
2025-11-27,-7800.0
2025-11-28,-14300.0
2025-12-01,-38000.0
2025-12-02,-40600.0
2025-12-03,-77500.0
2025-12-04,-5900.0
2025-12-05,-500.0
2025-12-08,900.0
2025-12-09,0.0
2025-12-10,-23600.0
2025-12-11,-11300.0
2025-12-12,-12200.0
2025-12-15,58000.0
2025-12-16,-6300.0
2025-12-17,-14200.0
2025-12-18,8300.0
2025-12-19,4300.0
2025-12-22,48400.0
2025-12-23,-12700.0
2025-12-24,-7800.0
2025-12-25,17900.0
2025-12-26,-5200.0
2025-12-29,-10300.0
2025-12-30,-12900.0
2026-01-05,6500.0
2026-01-06,5900.0
2026-01-07,-57100.0
2026-01-08,12200.0
2026-01-09,-3800.0
2026-01-13,-19400.0
2026-01-14,-16800.0
2026-01-15,-20500.0
2026-01-16,8500.0
2026-01-19,-10900.0
2026-01-20,15900.0
2026-01-21,-14000.0
2026-01-22,3600.0
2026-01-23,400.0
2026-01-26,5700.0
2026-01-27,-5900.0
2026-01-28,2800.0
2026-01-29,500.0
2026-01-30,-4700.0
2026-02-02,-24400.0
2026-02-03,-18100.0
2026-02-04,-93100.0
2026-02-05,4800.0
2026-02-06,-13000.0
2026-02-09,-900.0
2026-02-10,-600.0
2026-02-12,-2600.0
2026-02-13,79400.0
2026-02-16,-10200.0
2026-02-17,4500.0
2026-02-18,-36200.0
2026-02-19,6500.0
2026-02-20,5400.0
2026-02-24,-5400.0
2026-02-25,9200.0
2026-02-26,-4700.0
2026-02-27,4900.0
2026-03-02,-38300.0
2026-03-03,-22000.0
2026-03-04,-70300.0
2026-03-05,7600.0
2026-03-06,4800.0
2026-03-09,-10400.0
2026-03-10,7000.0
2026-03-11,-4100.0
2026-03-12,-27000.0
2026-03-13,2100.0
2026-03-16,-7500.0
2026-03-17,5500.0
2026-03-18,-10800.0
2026-03-19,21900.0
2026-03-23,79000.0
2026-03-24,-800.0
2026-03-25,28600.0
2026-03-26,9800.0
2026-03-27,0.0
2026-03-30,34700.0
2026-03-31,9800.0
2026-04-01,-24700.0
2026-04-02,14400.0
2026-04-03,-21800.0
2026-04-06,-1200.0
2026-04-07,5100.0
2026-04-08,6100.0
2026-04-09,1500.0
2026-04-10,-26500.0
2026-04-13,-3400.0
2026-04-14,-800.0
2026-04-15,72700.0
2026-04-16,14500.0
2026-04-17,6200.0
2026-04-20,-9100.0
2026-04-21,4900.0
2026-04-22,200.0
2026-04-23,9300.0
2026-04-24,21500.0
2026-04-27,-14000.0
2026-04-28,12200.0
2026-04-30,3600.0
2026-05-01,-29800.0
2026-05-07,-78300.0
2026-05-08,-42800.0
2026-05-11,-5500.0
2026-05-12,-3400.0
2026-05-13,-20900.0
2026-05-14,10600.0
2026-05-15,-1200.0
2026-05-18,-2100.0
2026-05-19,-34800.0
2026-05-20,5000.0
2026-05-21,-7200.0
2026-05-22,11400.0
2026-05-25,3600.0
2026-05-26,4600.0
2026-05-27,-2200.0
2026-05-28,1600.0
2026-05-29,-7400.0
2026-06-01,-54800.0
2026-06-02,-61300.0
2026-06-03,-37100.0
2026-06-04,5700.0
2026-06-05,300.0
2026-06-08,2000.0
2026-06-09,800.0
2026-06-10,-11600.0
2026-06-11,-15300.0
2026-06-12,20000.0
2026-06-15,79900.0
2026-06-16,-2800.0
2026-06-17,18000.0
2026-06-18,3000.0
2026-06-19,-100.0
2026-06-22,43800.0
2026-06-23,-3800.0
2026-06-24,-29000.0
2026-06-25,8900.0
2026-06-26,-7200.0
2026-06-29,-1400.0
2026-06-30,-300.0
2026-07-01,-20700.0
2026-07-02,-35000.0
2026-07-03,-21200.0
2026-07-06,18100.0
2026-07-07,9700.0
2026-07-08,-7500.0
2026-07-09,14600.0
2026-07-10,-18000.0
2026-07-13,-19500.0
2026-07-14,-12500.0
2026-07-15,-9100.0
2026-07-16,3600.0
2026-07-17,-200.0
2026-07-21,11700.0
2026-07-22,-3400.0
2026-07-23,14400.0
2026-07-24,7700.0
2026-07-27,10800.0
2026-07-28,-2200.0
2026-07-29,-10500.0
2026-07-30,-2800.0
2026-07-31,-11300.0
2026-08-03,-80000.0
2026-08-04,-112500.0
2026-08-05,-33100.0
2026-08-06,22900.0
2026-08-07,5300.0
2026-08-10,2700.0
2026-08-12,-16900.0
2026-08-13,-3500.0
2026-08-14,78200.0
2026-08-17,-5000.0
2026-08-18,-6600.0
2026-08-19,-22700.0
2026-08-20,18900.0
2026-08-21,-8400.0
2026-08-24,11800.0
2026-08-25,-2700.0
2026-08-26,-9800.0
2026-08-27,-5500.0
2026-08-28,6800.0
2026-08-31,600.0
2026-09-01,-54100.0
2026-09-02,-34200.0
2026-09-03,-2000.0
2026-09-04,800.0
2026-09-07,3900.0
2026-09-08,-10100.0
2026-09-09,-35300.0
