date,MABS1AN114
2016-07-31,2721389.0
2016-08-31,2705674.0
2016-09-30,2762889.0
2016-10-31,2813713.0
2016-11-30,2846287.0
2016-12-31,2892787.0
2017-01-31,2965363.0
2017-02-28,2941809.0
2017-03-31,2981202.0
2017-04-30,3145373.0
2017-05-31,3150984.0
2017-06-30,3184189.0
2017-07-31,3200104.0
2017-08-31,3210796.0
2017-09-30,3250959.0
2017-10-31,3255279.0
2017-11-30,3230768.0
2017-12-31,3232518.0
2018-01-31,3255991.0
2018-02-28,3210463.0
2018-03-31,3227707.0
2018-04-30,3360410.0
2018-05-31,3372731.0
2018-06-30,3378358.0
2018-07-31,3404323.0
2018-08-31,3406743.0
2018-09-30,3418547.0
2018-10-31,3428713.0
2018-11-30,3424011.0
2018-12-31,3361282.0
2019-01-31,3376623.0
2019-02-28,3345087.0
2019-03-31,3352957.0
2019-04-30,3440599.0
2019-05-31,3475618.0
2019-06-30,3507655.0
2019-07-31,3523501.0
2019-08-31,3481483.0
2019-09-30,3499531.0
2019-10-31,3533219.0
2019-11-30,3523361.0
2019-12-31,3461916.0
2020-01-31,3466604.0
2020-02-29,3449241.0
2020-03-31,3429572.0
2020-04-30,3492752.0
2020-05-31,3578262.0
2020-06-30,3683477.0
2020-07-31,3875318.0
2020-08-31,3934326.0
2020-09-30,4054654.0
2020-10-31,4237767.0
2020-11-30,4244712.0
2020-12-31,4262754.0
2021-01-31,4308518.0
2021-02-28,4318613.0
2021-03-31,4351139.0
2021-04-30,4601579.0
2021-05-31,4634565.0
2021-06-30,4638607.0
2021-07-31,4665370.0
2021-08-31,4679993.0
2021-09-30,4708287.0
2021-10-31,4764696.0
2021-11-30,4733376.0
2021-12-31,4723644.0
2022-01-31,4766767.0
2022-02-28,4708623.0
2022-03-31,4722652.0
2022-04-30,4950597.0
2022-05-31,4869863.0
2022-06-30,4820867.0
2022-07-31,4793142.0
2022-08-31,4678792.0
2022-09-30,4462817.0
2022-10-31,4273522.0
2022-11-30,4274908.0
2022-12-31,4278936.0
2023-01-31,4452686.0
2023-02-28,4538882.0
2023-03-31,4625689.0
2023-04-30,4791810.0
2023-05-31,4767247.0
2023-06-30,4744208.0
2023-07-31,4689779.0
2023-08-31,4719089.0
2023-09-30,4755350.0
2023-10-31,4762934.0
2023-11-30,4758739.0
2023-12-31,4687994.0
2024-01-31,4707634.0
2024-02-29,4678857.0
2024-03-31,4743194.0
2024-04-30,4961017.0
2024-05-31,4881153.0
2024-06-30,4838551.0
2024-07-31,4856957.0
2024-08-31,4893507.0
2024-09-30,4897578.0
2024-10-31,4881779.0
2024-11-30,4896200.0
2024-12-31,4790268.0
2025-01-31,4735177.0
2025-02-28,4757422.0
2025-03-31,4737342.0
2025-04-30,4831112.0
2025-05-31,4840386.0
2025-06-30,4787382.0
2025-07-31,4749040.0
2025-08-31,4762362.0
2025-09-30,4630443.0
2025-10-31,4508365.0
2025-11-30,4502447.0
2025-12-31,4315579.0
2026-01-31,4274083.0
2026-02-28,4239426.0
2026-03-31,4135531.0
2026-04-30,4252609.0
2026-05-31,4226650.0
2026-06-30,4089751.0
2026-07-31,4020507.0
2026-08-31,3905822.0
