date,req_daily
2025-10-01,132800.0
2025-10-02,132800.0
2025-10-03,132800.0
2025-10-06,132800.0
2025-10-07,132600.0
2025-10-08,132600.0
2025-10-09,132600.0
2025-10-10,132600.0
2025-10-14,132600.0
2025-10-15,132600.0
2025-10-16,132400.0
2025-10-17,132400.0
2025-10-20,132400.0
2025-10-21,132400.0
2025-10-22,132400.0
2025-10-23,132400.0
2025-10-24,132400.0
2025-10-27,132400.0
2025-10-28,132400.0
2025-10-29,132400.0
2025-10-30,132400.0
2025-10-31,132400.0
2025-11-04,132400.0
2025-11-05,132400.0
2025-11-06,132400.0
2025-11-07,132300.0
2025-11-10,132300.0
2025-11-11,132300.0
2025-11-12,132300.0
2025-11-13,132300.0
2025-11-14,132300.0
2025-11-17,132700.0
2025-11-18,132700.0
2025-11-19,132700.0
2025-11-20,132700.0
2025-11-21,132700.0
2025-11-25,132700.0
2025-11-26,132700.0
2025-11-27,132700.0
2025-11-28,132700.0
2025-12-01,132700.0
2025-12-02,132700.0
2025-12-03,132700.0
2025-12-04,132700.0
2025-12-05,132900.0
2025-12-08,132900.0
2025-12-09,132900.0
2025-12-10,132900.0
2025-12-11,132900.0
2025-12-12,132900.0
2025-12-15,132900.0
2025-12-16,133300.0
2025-12-17,133300.0
2025-12-18,133300.0
2025-12-19,133300.0
2025-12-22,133300.0
2025-12-23,133300.0
2025-12-24,133300.0
2025-12-25,133300.0
2025-12-26,133300.0
2025-12-29,133300.0
2025-12-30,133300.0
2026-01-05,133300.0
2026-01-06,133300.0
2026-01-07,133300.0
2026-01-08,133200.0
2026-01-09,133200.0
2026-01-13,133200.0
2026-01-14,133200.0
2026-01-15,133200.0
2026-01-16,133300.0
2026-01-19,133300.0
2026-01-20,133300.0
2026-01-21,133300.0
2026-01-22,133300.0
2026-01-23,133300.0
2026-01-26,133300.0
2026-01-27,133300.0
2026-01-28,133300.0
2026-01-29,133300.0
2026-01-30,133300.0
2026-02-02,133300.0
2026-02-03,133300.0
2026-02-04,133300.0
2026-02-05,133300.0
2026-02-06,133500.0
2026-02-09,133500.0
2026-02-10,133500.0
2026-02-12,133500.0
2026-02-13,133500.0
2026-02-16,133300.0
2026-02-17,133300.0
2026-02-18,133300.0
2026-02-19,133300.0
2026-02-20,133300.0
2026-02-24,133300.0
2026-02-25,133300.0
2026-02-26,133300.0
2026-02-27,133300.0
2026-03-02,133300.0
2026-03-03,133300.0
2026-03-04,133300.0
2026-03-05,133300.0
2026-03-06,133000.0
2026-03-09,133000.0
2026-03-10,133000.0
2026-03-11,133000.0
2026-03-12,133000.0
2026-03-13,133000.0
2026-03-16,133200.0
2026-03-17,133200.0
2026-03-18,133200.0
2026-03-19,133200.0
2026-03-23,133200.0
2026-03-24,133200.0
2026-03-25,133200.0
2026-03-26,133200.0
2026-03-27,133200.0
2026-03-30,133200.0
2026-03-31,133200.0
2026-04-01,133200.0
2026-04-02,133200.0
2026-04-03,133200.0
2026-04-06,133200.0
2026-04-07,133700.0
2026-04-08,133700.0
2026-04-09,133700.0
2026-04-10,133700.0
2026-04-13,133700.0
2026-04-14,133700.0
2026-04-15,133700.0
2026-04-16,135000.0
2026-04-17,135000.0
2026-04-20,135000.0
2026-04-21,135000.0
2026-04-22,135000.0
2026-04-23,135000.0
2026-04-24,135000.0
2026-04-27,135000.0
2026-04-28,135000.0
2026-04-30,135000.0
2026-05-01,135000.0
2026-05-07,135000.0
2026-05-08,135000.0
2026-05-11,135700.0
2026-05-12,135700.0
2026-05-13,135700.0
2026-05-14,135700.0
2026-05-15,135700.0
2026-05-18,135400.0
2026-05-19,135400.0
2026-05-20,135400.0
2026-05-21,135400.0
2026-05-22,135400.0
2026-05-25,135400.0
2026-05-26,135400.0
2026-05-27,135400.0
2026-05-28,135400.0
2026-05-29,135400.0
2026-06-01,135400.0
2026-06-02,135400.0
2026-06-03,135400.0
2026-06-04,135400.0
2026-06-05,135900.0
2026-06-08,135900.0
2026-06-09,135900.0
2026-06-10,135900.0
2026-06-11,135900.0
2026-06-12,135900.0
2026-06-15,135900.0
2026-06-16,136000.0
2026-06-17,136000.0
2026-06-18,136000.0
2026-06-19,136000.0
2026-06-22,136000.0
2026-06-23,136000.0
2026-06-24,136000.0
2026-06-25,136000.0
2026-06-26,136000.0
2026-06-29,136000.0
2026-06-30,136000.0
2026-07-01,136000.0
2026-07-02,136000.0
2026-07-03,136000.0
2026-07-06,136000.0
2026-07-07,135400.0
2026-07-08,135400.0
2026-07-09,135400.0
2026-07-10,135400.0
2026-07-13,135400.0
2026-07-14,135400.0
2026-07-15,135400.0
2026-07-16,135300.0
2026-07-17,135300.0
2026-07-21,135300.0
2026-07-22,135300.0
2026-07-23,135300.0
2026-07-24,135300.0
2026-07-27,135300.0
2026-07-28,135300.0
2026-07-29,135300.0
2026-07-30,135300.0
2026-07-31,135300.0
2026-08-03,135300.0
2026-08-04,135300.0
2026-08-05,135300.0
2026-08-06,135300.0
2026-08-07,135200.0
2026-08-10,135200.0
2026-08-12,135200.0
2026-08-13,135200.0
2026-08-14,135200.0
2026-08-17,134500.0
2026-08-18,134500.0
2026-08-19,134500.0
2026-08-20,134500.0
2026-08-21,134500.0
2026-08-24,134500.0
2026-08-25,134500.0
2026-08-26,134500.0
2026-08-27,134500.0
2026-08-28,134500.0
2026-08-31,134500.0
2026-09-01,134500.0
2026-09-02,134500.0
2026-09-03,134500.0
2026-09-04,134500.0
2026-09-07,134800.0
2026-09-08,134800.0
2026-09-09,134800.0
2026-09-10,134800.0
