date,ac_other_deposits
2024-10-10,435083.9
2024-10-20,443428.1
2024-10-31,469877.5
2024-11-10,468734.9
2024-11-20,481995.0
2024-11-30,505271.5
2024-12-10,520030.5
2024-12-20,540916.4
2024-12-31,579377.3
2025-01-10,542335.3
2025-01-20,523569.2
2025-01-31,478496.8
2025-02-10,454317.7
2025-02-20,424671.6
2025-02-28,426055.0
2025-03-10,434933.1
2025-03-20,437016.0
2025-03-31,470174.4
2025-04-10,448996.5
2025-04-20,419537.1
2025-04-30,404764.2
2025-05-10,412363.6
2025-05-20,427520.4
2025-05-31,427854.4
2025-06-10,412874.1
2025-06-20,435177.2
2025-06-30,456551.8
2025-07-10,424612.7
2025-07-20,426317.7
2025-07-31,434113.8
2025-08-10,427465.1
2025-08-20,438330.3
2025-08-31,451399.0
2025-09-10,448884.8
2025-09-20,449637.7
2025-09-30,475810.6
2025-10-10,445030.2
2025-10-20,461623.2
2025-10-31,466291.0
2025-11-10,458021.9
2025-11-20,471796.0
2025-11-30,493372.7
2025-12-10,482508.2
2025-12-20,518398.5
2025-12-31,552466.6
2026-01-10,507116.2
2026-01-20,498234.2
2026-01-31,503877.4
2026-02-10,489064.2
2026-02-20,485247.6
2026-02-28,488095.0
2026-03-10,475400.6
2026-03-20,486011.3
2026-03-31,497108.5
2026-04-10,464905.2
2026-04-20,472850.5
2026-04-30,465119.4
2026-05-10,439117.1
2026-05-20,433762.2
2026-05-31,435340.2
2026-06-10,444202.8
2026-06-20,442411.1
2026-06-30,484689.7
2026-07-10,435227.7
2026-07-20,433696.5
2026-07-31,466328.9
2026-08-10,407898.1
2026-08-20,423407.0
2026-08-31,430315.1
