date,pension_payments
2024-04-30,79751.51
2024-05-31,19432.74
2024-06-30,86828.73
2024-07-31,16539.87
2024-08-31,92783.78
2024-09-30,22849.94
2024-10-31,87915.15
2024-11-30,32879.52
2024-12-31,87020.48
2025-01-31,18523.69
2025-02-28,90881.95
2025-03-31,26754.79
2025-04-30,78497.74
2025-05-31,16735.62
2025-06-30,88072.69
2025-07-31,16804.38
2025-08-31,97553.06
2025-09-30,19571.9
2025-10-31,88783.81
2025-11-30,17530.56
2025-12-31,88214.03
2026-01-31,19253.82
2026-02-28,92602.63
2026-03-31,18350.15
2026-04-30,82116.28
2026-05-31,17325.69
2026-06-30,90046.36
2026-07-31,17387.7
2026-08-31,98317.77
