date,MAM1NAM3M1MO
2016-07-31,6651193.0
2016-08-31,6647099.0
2016-09-30,6656996.0
2016-10-31,6713560.0
2016-11-30,6764869.0
2016-12-31,6878435.0
2017-01-31,6912194.0
2017-02-28,6900633.0
2017-03-31,6972738.0
2017-04-30,7101689.0
2017-05-31,7124084.0
2017-06-30,7129497.0
2017-07-31,7150693.0
2017-08-31,7142856.0
2017-09-30,7166146.0
2017-10-31,7217045.0
2017-11-30,7263113.0
2017-12-31,7345538.0
2018-01-31,7371927.0
2018-02-28,7337047.0
2018-03-31,7406615.0
2018-04-30,7545588.0
2018-05-31,7565323.0
2018-06-30,7593071.0
2018-07-31,7603904.0
2018-08-31,7591960.0
2018-09-30,7610156.0
2018-10-31,7639033.0
2018-11-30,7664868.0
2018-12-31,7742591.0
2019-01-31,7754561.0
2019-02-28,7730901.0
2019-03-31,7813445.0
2019-04-30,7974190.0
2019-05-31,8012372.0
2019-06-30,7975402.0
2019-07-31,7970276.0
2019-08-31,7970276.0
2019-09-30,7993063.0
2019-10-31,8023157.0
2019-11-30,8082871.0
2019-12-31,8180068.0
2020-01-31,8205470.0
2020-02-29,8191377.0
2020-03-31,8295745.0
2020-04-30,8539371.0
2020-05-31,8750740.0
2020-06-30,8958961.0
2020-07-31,9019974.0
2020-08-31,9089419.0
2020-09-30,9134814.0
2020-10-31,9152514.0
2020-11-30,9217980.0
2020-12-31,9314014.0
2021-01-31,9379439.0
2021-02-28,9388262.0
2021-03-31,9467804.0
2021-04-30,9661557.0
2021-05-31,9747587.0
2021-06-30,9728780.0
2021-07-31,9744263.0
2021-08-31,9752890.0
2021-09-30,9769516.0
2021-10-31,9814220.0
2021-11-30,9870813.0
2021-12-31,9951946.0
2022-01-31,9996112.0
2022-02-28,9986690.0
2022-03-31,10059651.0
2022-04-30,10241465.0
2022-05-31,10283414.0
2022-06-30,10275588.0
2022-07-31,10287868.0
2022-08-31,10293335.0
2022-09-30,10289398.0
2022-10-31,10300549.0
2022-11-30,10363893.0
2022-12-31,10425610.0
2023-01-31,10448504.0
2023-02-28,10420143.0
2023-03-31,10505299.0
2023-04-30,10696137.0
2023-05-31,10734206.0
2023-06-30,10719688.0
2023-07-31,10713085.0
2023-08-31,10725889.0
2023-09-30,10722400.0
2023-10-31,10723802.0
2023-11-30,10762053.0
2023-12-31,10826276.0
2024-01-31,10858690.0
2024-02-29,10831498.0
2024-03-31,10926868.0
2024-04-30,11085392.0
2024-05-31,11034367.0
2024-06-30,10988661.0
2024-07-31,10969025.0
2024-08-31,10961652.0
2024-09-30,10920864.0
2024-10-31,10884697.0
2024-11-30,10913656.0
2024-12-31,10969519.0
2025-01-31,10973524.0
2025-02-28,10919164.0
2025-03-31,10941288.0
2025-04-30,11016430.0
2025-05-31,10999562.0
2025-06-30,10956687.0
2025-07-31,10894655.0
2025-08-31,10882193.0
2025-09-30,10838397.0
2025-10-31,10814821.0
2025-11-30,10850470.0
2025-12-31,10908947.0
2026-01-31,10924942.0
2026-02-28,10867556.0
2026-03-31,10894994.0
2026-04-30,11031918.0
2026-05-31,11032731.0
2026-06-30,10972346.0
2026-07-31,10914863.0
2026-08-31,10874678.0
