date,banknotes
2025-10-01,-1300.0
2025-10-02,100.0
2025-10-03,-100.0
2025-10-06,700.0
2025-10-07,600.0
2025-10-08,200.0
2025-10-09,-400.0
2025-10-10,200.0
2025-10-14,0.0
2025-10-15,500.0
2025-10-16,400.0
2025-10-17,-200.0
2025-10-20,-600.0
2025-10-21,-100.0
2025-10-22,-200.0
2025-10-23,-800.0
2025-10-24,-800.0
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,100.0
2025-10-30,-400.0
2025-10-31,100.0
2025-11-04,-200.0
2025-11-05,900.0
2025-11-06,0.0
2025-11-07,500.0
2025-11-10,700.0
2025-11-11,600.0
2025-11-12,500.0
2025-11-13,-300.0
2025-11-14,400.0
2025-11-17,-200.0
2025-11-18,300.0
2025-11-19,-600.0
2025-11-20,-200.0
2025-11-21,-400.0
2025-11-25,-600.0
2025-11-26,300.0
2025-11-27,-1000.0
2025-11-28,-400.0
2025-12-01,-600.0
2025-12-02,-800.0
2025-12-03,-1100.0
2025-12-04,-1900.0
2025-12-05,-500.0
2025-12-08,-1000.0
2025-12-09,-1500.0
2025-12-10,-1000.0
2025-12-11,-2300.0
2025-12-12,-1500.0
2025-12-15,-1900.0
2025-12-16,-2100.0
2025-12-17,-2100.0
2025-12-18,-3000.0
2025-12-19,-2500.0
2025-12-22,-2300.0
2025-12-23,-2800.0
2025-12-24,-2800.0
2025-12-25,-3200.0
2025-12-26,-2400.0
2025-12-29,-1100.0
2025-12-30,700.0
2026-01-05,2200.0
2026-01-06,3700.0
2026-01-07,2900.0
2026-01-08,2600.0
2026-01-09,2700.0
2026-01-13,2100.0
2026-01-14,3000.0
2026-01-15,2100.0
2026-01-16,2200.0
2026-01-19,1400.0
2026-01-20,1900.0
2026-01-21,700.0
2026-01-22,800.0
2026-01-23,800.0
2026-01-26,600.0
2026-01-27,800.0
2026-01-28,1000.0
2026-01-29,100.0
2026-01-30,800.0
2026-02-02,900.0
2026-02-03,800.0
2026-02-04,500.0
2026-02-05,0.0
2026-02-06,600.0
2026-02-09,600.0
2026-02-10,0.0
2026-02-12,300.0
2026-02-13,700.0
2026-02-16,500.0
2026-02-17,700.0
2026-02-18,-600.0
2026-02-19,-400.0
2026-02-20,-600.0
2026-02-24,-400.0
2026-02-25,700.0
2026-02-26,-300.0
2026-02-27,300.0
2026-03-02,100.0
2026-03-03,300.0
2026-03-04,-100.0
2026-03-05,200.0
2026-03-06,200.0
2026-03-09,500.0
2026-03-10,900.0
2026-03-11,500.0
2026-03-12,300.0
2026-03-13,200.0
2026-03-16,800.0
2026-03-17,-100.0
2026-03-18,-300.0
2026-03-19,-200.0
2026-03-23,200.0
2026-03-24,700.0
2026-03-25,400.0
2026-03-26,-300.0
2026-03-27,100.0
2026-03-30,800.0
2026-03-31,1100.0
2026-04-01,0.0
2026-04-02,600.0
2026-04-03,900.0
2026-04-06,900.0
2026-04-07,800.0
2026-04-08,600.0
2026-04-09,200.0
2026-04-10,400.0
2026-04-13,400.0
2026-04-14,400.0
2026-04-15,-300.0
2026-04-16,-200.0
2026-04-17,-500.0
2026-04-20,-200.0
2026-04-21,-500.0
2026-04-22,-1300.0
2026-04-23,-1300.0
2026-04-24,-1700.0
2026-04-27,-1100.0
2026-04-28,-1600.0
2026-04-30,-1800.0
2026-05-01,-500.0
2026-05-07,1100.0
2026-05-08,3400.0
2026-05-11,2000.0
2026-05-12,2100.0
2026-05-13,1400.0
2026-05-14,1000.0
2026-05-15,1500.0
2026-05-18,1400.0
2026-05-19,800.0
2026-05-20,300.0
2026-05-21,0.0
2026-05-22,0.0
2026-05-25,500.0
2026-05-26,500.0
2026-05-27,100.0
2026-05-28,200.0
2026-05-29,700.0
2026-06-01,700.0
2026-06-02,800.0
2026-06-03,-100.0
2026-06-04,700.0
2026-06-05,1000.0
2026-06-08,900.0
2026-06-09,600.0
2026-06-10,0.0
2026-06-11,-200.0
2026-06-12,-100.0
2026-06-15,300.0
2026-06-16,200.0
2026-06-17,-600.0
2026-06-18,-500.0
2026-06-19,-100.0
2026-06-22,-300.0
2026-06-23,-600.0
2026-06-24,-300.0
2026-06-25,-600.0
2026-06-26,-400.0
2026-06-29,200.0
2026-06-30,0.0
2026-07-01,-300.0
2026-07-02,-400.0
2026-07-03,300.0
2026-07-06,400.0
2026-07-07,400.0
2026-07-08,100.0
2026-07-09,-200.0
2026-07-10,300.0
2026-07-13,400.0
2026-07-14,300.0
2026-07-15,-100.0
2026-07-16,-500.0
2026-07-17,-400.0
2026-07-21,-600.0
2026-07-22,400.0
2026-07-23,-100.0
2026-07-24,-100.0
2026-07-27,100.0
2026-07-28,500.0
2026-07-29,-200.0
2026-07-30,-100.0
2026-07-31,400.0
2026-08-03,300.0
2026-08-04,200.0
2026-08-05,-200.0
2026-08-06,-600.0
2026-08-07,-200.0
2026-08-10,-700.0
2026-08-12,0.0
2026-08-13,-100.0
2026-08-14,200.0
2026-08-17,600.0
2026-08-18,300.0
2026-08-19,0.0
2026-08-20,0.0
2026-08-21,200.0
2026-08-24,200.0
2026-08-25,200.0
2026-08-26,-100.0
2026-08-27,0.0
2026-08-28,300.0
2026-08-31,700.0
2026-09-01,500.0
2026-09-02,100.0
2026-09-03,200.0
2026-09-04,800.0
2026-09-07,600.0
2026-09-08,900.0
2026-09-09,600.0
2026-09-10,100.0
