date,pension_receipts
2024-04-30,41765.32
2024-05-31,40014.53
2024-06-30,40798.39
2024-07-31,37280.02
2024-08-31,54814.34
2024-09-30,48949.36
2024-10-31,41148.27
2024-11-30,36742.07
2024-12-31,43545.05
2025-01-31,36823.8
2025-02-28,65275.74
2025-03-31,40229.6
2025-04-30,42572.15
2025-05-31,40574.7
2025-06-30,42241.15
2025-07-31,38399.42
2025-08-31,55453.17
2025-09-30,51504.28
2025-10-31,45953.48
2025-11-30,37856.51
2025-12-31,45256.26
2026-01-31,37052.74
2026-02-28,72068.29
2026-03-31,42726.05
2026-04-30,43898.14
2026-05-31,42277.05
2026-06-30,44133.41
2026-07-31,39689.31
2026-08-31,57562.25
