date,fefsa_receipts_py
2024-04-30,7251.9
2024-05-31,8165.6
2024-06-30,6918.08
2024-07-31,7673.2
2024-08-31,6929.33
2024-09-30,4784.6
2024-10-31,9271.58
2024-11-30,5049.2
2024-12-31,7181.42
2025-01-31,5051.8
2025-02-28,3605.06
2025-03-31,8235.2
2025-04-30,8320.4
2025-05-31,106225.67
2025-06-30,9859.31
2025-07-31,63770.16
2025-08-31,7363.11
2025-09-30,7148.8
2025-10-31,8776.83
2025-11-30,8201.18
2025-12-31,8805.5
2026-01-31,8768.82
2026-02-28,7659.09
2026-03-31,6003.22
2026-04-30,7157.0
2026-05-31,5856.95
2026-06-30,10516.97
2026-07-31,10300.04
2026-08-31,5968.08
