date,btc_5y
2022-01-12,3.336
2022-02-15,3.386
2022-03-08,3.292
2022-04-12,3.614
2022-05-18,3.402
2022-06-21,3.165
2022-07-12,3.917
2022-08-16,3.399
2022-09-13,3.787
2022-10-14,3.993
2022-11-15,3.306
2022-12-08,3.579
2023-01-13,3.661
2023-02-16,3.977
2023-03-14,3.261
2023-04-11,3.947
2023-05-15,3.703
2023-06-22,3.85
2023-07-11,4.68
2023-08-15,3.346
2023-09-12,4.415
2023-10-11,4.056
2023-11-14,4.166
2023-12-12,3.851
2024-01-16,3.788
2024-02-09,3.435
2024-03-12,3.991
2024-04-09,3.878
2024-05-14,3.897
2024-06-20,3.971
2024-07-09,4.256
2024-08-14,3.511
2024-09-10,3.759
2024-10-10,3.733
2024-11-15,3.807
2024-12-10,4.418
2025-01-14,3.816
2025-02-14,3.516
2025-03-10,3.166
2025-04-10,3.836
2025-05-15,3.189
2025-06-19,4.578
2025-07-08,3.541
2025-08-13,2.962
2025-09-10,3.696
2025-10-09,3.695
2025-11-13,3.326
2025-12-09,3.168
2026-01-14,3.081
2026-02-17,3.096
2026-03-11,3.689
2026-04-09,3.585
2026-05-18,3.216
2026-06-23,3.112
2026-07-09,3.433
