date,taxes_receipts
2024-04-30,75891.04
2024-05-31,90163.27
2024-06-30,131170.7
2024-07-31,71256.96
2024-08-31,66712.9
2024-09-30,75535.3
2024-10-31,67194.17
2024-11-30,76660.54
2024-12-31,115250.39
2025-01-31,87185.43
2025-02-28,63034.71
2025-03-31,87269.66
2025-04-30,83247.95
2025-05-31,87673.4
2025-06-30,139195.02
2025-07-31,83148.87
2025-08-31,77840.89
2025-09-30,84518.66
2025-10-31,65860.56
2025-11-30,80647.62
2025-12-31,127230.89
2026-01-31,88313.09
2026-02-28,62732.57
2026-03-31,97188.87
2026-04-30,87439.24
2026-05-31,96465.25
2026-06-30,165478.61
2026-07-31,93596.62
2026-08-31,85744.72
