date,social_security_balance
2024-04-30,-27503.43
2024-05-31,-22256.75
2024-06-30,-14523.02
2024-07-31,-23987.77
2024-08-31,-9968.22
2024-09-30,-20191.56
2024-10-31,-16982.31
2024-11-30,-10334.61
2024-12-31,-16138.45
2025-01-31,-11906.32
2025-02-28,-10272.71
2025-03-31,-34041.97
2025-04-30,-29568.3
2025-05-31,-22719.22
2025-06-30,-15432.42
2025-07-31,-20781.49
2025-08-31,-18876.28
2025-09-30,-17146.3
2025-10-31,-15518.84
2025-11-30,-10544.09
2025-12-31,-17932.56
2026-01-31,-12779.01
2026-02-28,-11682.0
2026-03-31,-39200.75
2026-04-30,-33206.84
2026-05-31,-25242.81
2026-06-30,-24058.55
2026-07-31,-20561.28
2026-08-31,-16439.28
