date,ac_etf
2024-10-10,371861.8
2024-10-20,371861.8
2024-10-31,371861.8
2024-11-10,371861.8
2024-11-20,371861.8
2024-11-30,371861.8
2024-12-10,371861.8
2024-12-20,371861.8
2024-12-31,371861.8
2025-01-10,371861.8
2025-01-20,371861.8
2025-01-31,371861.8
2025-02-10,371861.8
2025-02-20,371861.8
2025-02-28,371861.8
2025-03-10,371861.8
2025-03-20,371861.8
2025-03-31,371861.8
2025-04-10,371861.8
2025-04-20,371861.8
2025-04-30,371861.8
2025-05-10,371861.8
2025-05-20,371861.8
2025-05-31,371861.8
2025-06-10,371861.8
2025-06-20,371861.8
2025-06-30,371861.8
2025-07-10,371861.8
2025-07-20,371861.8
2025-07-31,371861.8
2025-08-10,371861.8
2025-08-20,371861.8
2025-08-31,371861.8
2025-09-10,371861.8
2025-09-20,371861.8
2025-09-30,371861.8
2025-10-10,371861.8
2025-10-20,371861.8
2025-10-31,371861.8
2025-11-10,371861.8
2025-11-20,371861.8
2025-11-30,371861.8
2025-12-10,371861.8
2025-12-20,371861.8
2025-12-31,371861.8
2026-01-10,371861.8
2026-01-20,371861.8
2026-01-31,371808.1
2026-02-10,371712.3
2026-02-20,371609.8
2026-02-28,371552.9
2026-03-10,371474.2
2026-03-20,371359.2
2026-03-31,371214.6
2026-04-10,371166.3
2026-04-20,371072.0
2026-04-30,370935.8
2026-05-10,370913.8
2026-05-20,370799.3
2026-05-31,370700.5
2026-06-10,370596.9
2026-06-20,370498.5
2026-06-30,370403.9
2026-07-10,370311.7
2026-07-20,370235.2
2026-07-31,370098.9
2026-08-10,370029.8
2026-08-20,369930.7
2026-08-31,369835.1
