date,hy_2y
2022-01-27,-0.054
2022-02-25,-0.02
2022-03-31,-0.025
2022-04-27,-0.054
2022-05-31,-0.058
2022-06-28,-0.049
2022-07-28,-0.074
2022-08-30,-0.083
2022-09-29,-0.046
2022-10-27,-0.031
2022-11-29,-0.029
2022-12-27,0.043
2023-01-31,-0.009
2023-02-28,-0.027
2023-03-30,-0.063
2023-04-26,-0.042
2023-05-30,-0.058
2023-06-29,-0.062
2023-07-27,-0.045
2023-08-29,0.011
2023-09-28,0.045
2023-10-30,0.106
2023-11-30,0.046
2023-12-26,0.064
2024-01-30,0.075
2024-02-29,0.18
2024-03-29,0.187
2024-04-23,0.303
2024-05-30,0.418
2024-06-27,0.378
2024-07-26,0.409
2024-08-29,0.385
2024-09-30,0.392
2024-10-29,0.454
2024-11-29,0.582
2024-12-26,0.602
2025-01-31,0.727
2025-02-27,0.826
2025-03-31,0.863
2025-04-24,0.691
2025-05-30,0.752
2025-06-26,0.729
2025-07-29,0.841
2025-08-28,0.863
2025-09-30,0.949
2025-10-31,0.932
2025-11-28,0.993
2025-12-25,1.129
2026-01-30,1.253
2026-02-27,1.244
2026-03-31,1.37
2026-04-30,1.407
2026-05-29,1.369
2026-06-30,1.407
2026-07-30,1.487
2026-08-28,1.725
