date,hy_30y
2022-01-07,0.719
2022-02-03,0.788
2022-03-03,0.893
2022-04-07,0.989
2022-05-12,1.015
2022-06-07,1.049
2022-07-07,1.234
2022-08-09,1.119
2022-09-06,1.235
2022-10-12,1.48
2022-11-09,1.561
2022-12-06,1.481
2023-01-11,1.649
2023-02-07,1.543
2023-03-07,1.416
2023-04-06,1.353
2023-05-11,1.252
2023-06-06,1.257
2023-07-06,1.222
2023-08-08,1.593
2023-09-07,1.64
2023-10-05,1.691
2023-11-09,1.741
2023-12-07,1.623
2024-01-12,1.629
2024-02-07,1.791
2024-03-07,1.77
2024-04-04,1.808
2024-05-10,1.992
2024-06-06,2.156
2024-07-04,2.19
2024-08-08,2.229
2024-09-05,2.043
2024-10-08,2.152
2024-11-13,2.271
2024-12-05,2.287
2025-01-09,2.304
2025-02-06,2.29
2025-03-06,2.5
2025-04-08,2.414
2025-05-13,2.941
2025-06-05,2.904
2025-07-03,2.808
2025-08-07,3.089
2025-09-04,3.264
2025-10-07,3.248
2025-11-11,3.166
2025-12-04,3.427
2026-01-08,3.447
2026-02-05,3.615
2026-03-05,3.398
2026-04-07,3.697
2026-05-14,3.842
2026-06-10,3.86
2026-07-07,3.993
