date,taxes_receipts_py
2024-04-30,74934.37
2024-05-31,80457.28
2024-06-30,114716.94
2024-07-31,86837.27
2024-08-31,74384.79
2024-09-30,73574.72
2024-10-31,57268.86
2024-11-30,74883.98
2024-12-31,103450.48
2025-01-31,74035.85
2025-02-28,59272.33
2025-03-31,80117.65
2025-04-30,75891.04
2025-05-31,90163.27
2025-06-30,131170.7
2025-07-31,71256.96
2025-08-31,66712.9
2025-09-30,75535.3
2025-10-31,67194.17
2025-11-30,76660.54
2025-12-31,115250.39
2026-01-31,87185.43
2026-02-28,63034.71
2026-03-31,87269.66
2026-04-30,83247.95
2026-05-31,87673.4
2026-06-30,139195.02
2026-07-31,83148.87
2026-08-31,77840.89
