date,btc_20y
2022-01-14,3.179
2022-02-17,3.392
2022-03-10,2.928
2022-04-14,3.102
2022-05-20,3.765
2022-06-23,3.381
2022-07-14,3.632
2022-08-18,3.282
2022-09-15,2.506
2022-10-18,3.263
2022-11-17,3.035
2022-12-15,2.903
2023-01-19,3.365
2023-02-21,3.048
2023-03-16,2.846
2023-04-20,2.963
2023-05-17,3.688
2023-06-27,3.025
2023-07-13,3.382
2023-08-17,2.795
2023-09-14,3.942
2023-10-17,2.973
2023-11-21,3.54
2023-12-14,2.584
2024-01-18,3.126
2024-02-20,3.852
2024-03-14,3.007
2024-04-11,3.046
2024-05-16,3.647
2024-06-25,3.273
2024-07-11,3.802
2024-08-20,3.422
2024-09-12,3.475
2024-10-24,3.037
2024-11-21,3.523
2024-12-17,3.379
2025-01-16,3.789
2025-02-18,3.056
2025-03-12,3.459
2025-04-15,2.964
2025-05-20,2.501
2025-06-24,3.107
2025-07-10,3.146
2025-08-19,3.085
2025-09-17,3.997
2025-10-15,3.56
2025-11-19,3.283
2025-12-11,4.096
2026-01-20,3.192
2026-02-19,3.077
2026-03-17,3.247
2026-04-14,4.82
2026-05-20,4.011
2026-06-25,2.967
2026-07-14,4.522
